雫石町,6067982,39.696592788,140.975515011,岩手県岩手郡雫石町千刈田,
小岩井農場まきば園,819004,39.751279691,141.017601789,岩手県岩手郡雫石町丸谷地,
小岩井の一本桜,1345298,39.755191146,141.005251408,岩手県岩手郡雫石町丸谷地,
小岩井農場,341095547,39.733192494,141.013003853,岩手県岩手郡雫石町丸谷地,
盛岡手づくり村,926651,39.692994788,141.024364868,岩手県盛岡市繋字尾入野６４－１０２,盛岡市
花工房らら倶楽部,1441650,39.727471765,140.975757837,岩手県岩手郡雫石町長山七ツ田２７,
宮沢賢治 童話村,4098307,39.398460556,141.168362802,岩手県花巻市高松,花巻市
宮沢賢治記念館,367034,39.399358242,141.163136841,岩手県花巻市矢沢,花巻市
花巻市博物館,28973983,39.400307285,141.167689329,岩手県花巻市矢沢,花巻市
宮沢賢治イーハトーブ館,10375032,39.396876927,141.164292696,岩手県花巻市高松,花巻市
中尊寺金色堂,299602,39.001703606,141.100573032,岩手県西磐井郡平泉町平泉,
毛越寺,810367,38.987192719,141.107465029,岩手県西磐井郡平泉町平泉字大沢５８,
白山神社,11273180,39.003148027,141.100340737,岩手県西磐井郡平泉町平泉,
Kobiru Cafe 平泉,36270655,38.988031257,141.117201594,岩手県西磐井郡平泉町平泉,
cafe&bar 琥珀,131267305,38.988106259,141.115065818,岩手県西磐井郡平泉町平泉,
新鉛温泉 愛隣館,7369850,39.469612,140.988514,岩手県花巻市鉛字西鉛２３,花巻市
鉛温泉 藤三旅館,3752634,39.465776836,140.991486311,岩手県花巻市鉛字中平７５－１,花巻市
風の季,132540707,39.409740326,141.014393619,岩手県花巻市湯口字松原３６－３,花巻市
渡り温泉,4357438,39.424784955,141.015665677,岩手県花巻市湯口,花巻市
大沢温泉自炊部,5431846,39.436714653,141.015698499,岩手県花巻市湯口字大沢１８１,花巻市
大沢温泉,1067514,39.435465569,141.015670393,岩手県花巻市湯口,花巻市
山の神温泉 優香苑,5709102,39.45230502,141.004719082,岩手県花巻市下シ沢,花巻市
精華の湯,6423657,39.454867285,141.0561983,岩手県花巻市台,花巻市
鉛温泉スキー場,127209,39.463000788,140.993329226,岩手県花巻市鉛字中平３６－１,花巻市
御所湖,767948,39.675484394,141.013598442,岩手県盛岡市繋,盛岡市
つなぎ温泉　愛真館,8416779,39.672817089,141.022216083,岩手県盛岡市繋字塗沢４０－４,盛岡市
四季亭,5954205,39.672747116,141.023965366,岩手県盛岡市繋,盛岡市
宮古市,5789086,39.641454319,141.957092285,岩手県宮古市新川町２－１,宮古市
民宿 GORILLA,138774375,39.643016,141.962144,岩手県宮古市愛宕２丁目４,宮古市
八幡平ハイツ,28046137,39.902490123,140.96862093,岩手県八幡平市松尾寄木,八幡平市
森林ふれあい学習館 フォレストアイ,75516580,39.895361381,140.964724515,岩手県八幡平市松尾寄木,八幡平市
岩手県県民の森,23422597,39.89436158,140.967614651,岩手県八幡平市松尾寄木,八幡平市
八幡平温泉館 森乃湯,152824965,39.897660281,140.973555077,岩手県八幡平市松尾寄木,八幡平市
松川玄武岩,141578251,39.894366812,140.958797555,岩手県八幡平市松尾寄木,八幡平市
八幡平トラウトガーデン,26192570,39.910586857,140.983321257,岩手県八幡平市松尾寄木,八幡平市
金沢清水,260041574,39.910671234,140.987014771,岩手県八幡平市松尾寄木,八幡平市
七滝,221352442,39.874150913,140.958390458,岩手県八幡平市松尾寄木,八幡平市
イーハトーブ火山局,9503364,39.9295559,141.00276686,岩手県八幡平市松尾寄木,八幡平市
花巻トロン,210665465,39.402700303,141.01822257,岩手県花巻市湯口字松原７６－９,花巻市
たろし滝,207438975,39.506921443,141.063508987,岩手県花巻市石鳥谷町大瀬川,花巻市
釜淵の滝,283098,39.455562042,141.065632411,岩手県花巻市台,花巻市
龍泉洞,3034058,39.860809678,141.796790779,岩手県下閉伊郡岩泉町岩泉,
龍泉新洞科学館,23215846,39.860884267,141.797790527,岩手県下閉伊郡岩泉町岩泉,
思惟大橋,62969987,39.931373425,141.887886733,岩手県下閉伊郡田野畑村田野畑,
田野畑村,8314303,39.930447055,141.888856888,岩手県下閉伊郡田野畑村田野畑,
龍泉洞青少年旅行村,369262441,39.8627,141.791931,岩手県下閉伊郡岩泉町岩泉,
ふれあいらんど岩泉,5379449,39.840328242,141.866789803,岩手県下閉伊郡岩泉町乙茂,
薄衣の滝,40121335,39.417264683,141.00808382,岩手県花巻市湯口,花巻市
瀬峯坂温泉宝珠の湯,14284087,39.242813592,141.00139192,岩手県北上市和賀町岩崎,北上市
千貫石温泉  湯元  東館,44572221,39.227286414,141.011760896,岩手県胆沢郡金ケ崎町西根,
北上市立 鬼の館,12467550,39.27557867,141.045409441,岩手県北上市和賀町岩崎１６地割１３１,北上市
北上カントリークラブ,138620619,39.267614,140.983242,岩手県北上市和賀町煤孫,北上市
入畑ダム展望広場,14569564,39.23774736,140.949770788,岩手県北上市和賀町岩崎新田,北上市
北上カントリークラブ,42883463,39.267781557,140.981635245,岩手県北上市和賀町煤孫１地割,北上市
御所ダム,16580685,39.693240186,141.026574729,岩手県盛岡市繋,盛岡市
八幡平カントリークラブ,27961698,39.639060199,140.937683501,岩手県岩手郡雫石町鴬宿,
雫石町総合運動公園,9514763,39.699089673,140.963757834,岩手県岩手郡雫石町高前田,
盛岡市,6190871,39.701969994,141.154425144,岩手県盛岡市内丸１２－２,盛岡市
岩手県公会堂,2564445,39.703207517,141.153452983,岩手県盛岡市内丸１１－２,盛岡市
もりおか歴史文化館,3608599,39.700846075,141.153332487,岩手県盛岡市内丸１,盛岡市
中ノ橋 (Nakanohashi Bridge),208816,39.700731804,141.1543715,岩手県盛岡市内丸,盛岡市
FM岩手,37378024,39.701243591,141.153888702,岩手県盛岡市内丸２－１０,盛岡市
岩手銀行 中ノ橋支店,27306467,39.700847369,141.155337095,岩手県盛岡市中ノ橋通１丁目２－１６,盛岡市
彩四季,197593534,39.701052,141.155618,岩手県盛岡市紺屋町１－３７,盛岡市
安比高原スキー場,742323,40.00497678,140.980022798,岩手県八幡平市安比高原,八幡平市
長者屋敷清水,540757267,39.9722895,141.031014948,岩手県八幡平市松尾,八幡平市
三ツ石山,40038293,39.926319554,141.09531666,岩手県八幡平市大更第３５地割６２,八幡平市
岩手高原スノーパーク,1361224,39.813846646,140.966062913,岩手県岩手郡雫石町長山,
雫石スキー場,703408,39.775273297,140.930347649,岩手県岩手郡雫石町西根,
網張温泉,2710449,39.821807835,140.940952233,岩手県岩手郡雫石町長山,
ゆこたんの森,7029293,39.795040122,140.951069942,岩手県岩手郡雫石町長山,
網張キャンプ場,155465484,39.821983337,140.941223145,岩手県岩手郡雫石町長山,
ぬくもり温泉 NUC,81736996,39.805599277,140.947802229,岩手県岩手郡雫石町長山,
相の沢温泉 お山の湯,37177273,39.802041224,141.007708311,岩手県滝沢市鵜飼安達１１４－３,滝沢市
地蔵菩薩,210557065,38.988726,141.10861,岩手県西磐井郡平泉町平泉,
道の駅 石鳥谷,483892,39.48284694,141.141804644,岩手県花巻市石鳥谷町中寺林,花巻市
石鳥谷駅 (Ishidoriya Sta.),4580233,39.491262203,141.147081256,岩手県花巻市石鳥谷町好地第７地割１２－７,花巻市
石鳥谷アイスアリーナ,134999922,39.482278386,141.141583314,岩手県花巻市石鳥谷町中寺林,花巻市
√s （ルーツ）,52077692,39.475457753,141.150494459,岩手県花巻市石鳥谷町八幡,花巻市
厳美渓,935032,38.944218706,141.047852193,岩手県一関市厳美町,一関市
サハラガラスパーク,3826876,38.945003694,141.048658067,岩手県一関市厳美町,一関市
一関市博物館,144439881,38.946626696,141.051707268,岩手県一関市厳美町字沖野々２１５,一関市
しづか亭 奥州平泉温泉,55856142,38.991986711,141.050732137,岩手県西磐井郡平泉町平泉,
桜山神社,244711,39.701457677,141.151983201,岩手県盛岡市内丸１－４１,盛岡市
ななっく (Nanak),43503323,39.699743299,141.155948639,岩手県盛岡市中ノ橋通１丁目６－７,盛岡市
山里,153775252,39.701136281,141.148765683,岩手県盛岡市菜園１丁目６,盛岡市
八幡平市,13497045,39.926366276,141.095258296,岩手県八幡平市大更第３５地割６２,八幡平市
猊鼻渓,2369631,38.987465834,141.261321902,岩手県一関市東山町松川,一関市
岩手県,235253923,38.989936266,141.255352641,岩手県一関市東山町長坂,一関市
幽玄洞,5808078,39.004046451,141.256200277,岩手県一関市東山町長坂,一関市
らら・いわて,4053016,39.700921661,141.148926616,岩手県盛岡市菜園１丁目３－６,盛岡市
葛根田渓谷,440624198,39.817519,140.89735,岩手県岩手郡雫石町長山,
一関市,7461016,38.934777002,141.126755476,岩手県一関市竹山町７－２,一関市
滝観洞,28240570,37.989035285,139.372581469,新潟県新発田市住田,
宮古市魚菜市場,3329806,39.646225927,141.946020382,岩手県宮古市五月町１－１,宮古市
福,6092535,39.642506693,141.947249492,岩手県宮古市保久田２,宮古市
カントリーズcafe,106625718,39.642489046,141.94800658,岩手県宮古市保久田２－２２,宮古市
盛岡八幡宮,79256,39.695793254,141.16308847,岩手県盛岡市八幡町１３,盛岡市
岩山展望台,725970,39.700939024,141.183501321,岩手県盛岡市新庄,盛岡市
盛岡 Club Change,11417355,39.697902456,141.163244247,岩手県盛岡市中ノ橋通２丁目１２－１４,盛岡市
盛岡市動物公園,285107,39.697289457,141.194349688,岩手県盛岡市新庄,盛岡市
えさし郷土文化館,536822934,39.196001981,141.191128492,岩手県奥州市江刺区岩谷堂字小名丸１０２－１,奥州市
えさし藤原の郷,4122558,39.197367702,141.188945387,岩手県奥州市江刺区岩谷堂字小名丸８６－１,奥州市
SANTASON (サンタサン),48091754,39.190879924,141.179702282,岩手県奥州市江刺区川原町２－３,奥州市
八重吉煎餅店,114179965,39.189842326,141.178473331,岩手県奥州市江刺区中町１,奥州市
上の橋,175039,39.705422874,141.15562854,岩手県盛岡市本町通１丁目２,盛岡市
盛岡市中央公民館,5556020,39.711380968,141.161934776,岩手県盛岡市愛宕下,盛岡市
ワインシャトー大迫,125849220,39.496161919,141.250799052,岩手県紫波郡紫波町佐比内,
エーデルワイン,157325064,39.473801479,141.285069997,岩手県花巻市大迫町大迫,花巻市
森のくに,273307685,39.474347832,141.282098697,岩手県花巻市大迫町大迫第１２地割４５－１,花巻市
ミルク工房ボン･ディア,2729992,39.47192547,141.282886233,岩手県花巻市大迫町大迫,花巻市
岩洞湖,3864519,39.832037536,141.358938217,岩手県盛岡市玉山区薮川,盛岡市
天峰山,972395,39.80326769,141.259520291,岩手県盛岡市玉山区日戸,盛岡市
弁天島,64298311,39.828776229,141.35432243,岩手県盛岡市玉山区薮川,盛岡市
姫神山,3841652,39.844020809,141.24681386,岩手県盛岡市玉山区玉山,盛岡市
一本杉,355803071,39.850611,141.235831,岩手県盛岡市玉山区玉山,盛岡市
三王岩,28730933,39.734651073,141.98056438,岩手県宮古市田老,宮古市
岩手サファリパーク,14354244,38.808852,141.258973,岩手県一関市藤沢町黄海,一関市
いわて子どもの森,14464115,40.221650782,141.290034067,岩手県二戸郡一戸町一戸,
岩手町,28440964,39.972548781,141.212527156,岩手県岩手郡岩手町大字五日市第１０地割４４,岩手郡岩手町大字五日市
国立天文台 水沢VLBI観測所,43080177,39.135069096,141.132719232,岩手県奥州市水沢区星ガ丘町２,奥州市
駒形神社,13494589,39.136143297,141.13798288,岩手県奥州市水沢区中上野町１－８３,奥州市
カッパ淵,223425,39.354319968,141.570808854,岩手県遠野市土淵町土淵,遠野市
グラトン,43382470,39.336646,141.546366,岩手県遠野市松崎町白岩,遠野市
常堅寺,5955665,39.354708125,141.571724899,岩手県遠野市土淵町土淵,遠野市
伝承園,3730808,39.357700574,141.569254166,岩手県遠野市土淵町土淵,遠野市
八幡神社,111345021,39.343676,141.546383,岩手県遠野市松崎町白岩,遠野市
三陸駅,7412531,39.117094364,141.809940518,岩手県大船渡市三陸町越喜来,大船渡市
夏虫のお湯っこ,38772100,39.138201859,141.781241,岩手県大船渡市三陸町越喜来,大船渡市
遊・YOU・亭 夏虫,38777003,39.138403221,141.781585996,岩手県大船渡市三陸町越喜来,大船渡市
夏油高原スキー場,620898,39.238122165,140.905523333,岩手県北上市和賀町岩崎新田,北上市
永岡温泉夢の湯,2635979,39.173622749,141.027164507,岩手県胆沢郡金ケ崎町永沢,
入畑ダム,5587336,39.23865749,140.949987844,岩手県北上市和賀町岩崎新田,北上市
夏油高原温泉,55879535,39.238637434,140.913815002,岩手県北上市和賀町岩崎新田,北上市
岩手県立博物館,39214932,39.755441407,141.153920271,岩手県盛岡市上田字松屋敷３４,盛岡市
四十四田公園,7413545,39.754778736,141.153320074,岩手県盛岡市上田,盛岡市
一戸町,31192607,40.215273561,141.300507379,岩手県二戸郡一戸町一戸,
天台寺,26702946,40.197611961,141.180300617,岩手県二戸市浄法寺町,二戸市
道の駅 種山ヶ原,3869251,39.1397751,141.5750517,岩手県気仙郡住田町世田米,
遊林ランド種山,114995157,39.181612,141.397986,岩手県気仙郡住田町世田米,
種山ヶ原森林公園,26976765,39.184005901,141.390548178,岩手県気仙郡住田町世田米,
種山高原 星座の森,33246138,39.194857775,141.386115294,岩手県奥州市江刺区米里,奥州市
JA江刺市 江刺ふるさと市場,45755968,39.159943582,141.181819596,岩手県奥州市江刺区愛宕,奥州市
COOPアテルイ,130824792,39.148057152,141.155858924,岩手県奥州市水沢区佐倉河,奥州市
胆沢川温泉 さくらの湯,21105076,39.164498742,141.090470552,岩手県奥州市水沢区佐倉河字明神堂２７,奥州市
奥州市,10321471,39.144440094,141.139227748,岩手県奥州市水沢区大手町１丁目１,奥州市
株式会社JAZZRIZE DESIGN,52960283,39.14226,141.141567,岩手県奥州市水沢区字大町,奥州市
ひめかゆ,14581813,39.115910531,140.943045616,岩手県奥州市胆沢区若柳,奥州市
焼石岳,20265038,39.163803101,140.828796387,岩手県奥州市胆沢区若柳,奥州市
アグリパークおおさわ,190800161,40.380039,141.620217,岩手県九戸郡洋野町種市,九戸郡洋野町種市
ひろのまきば天文台,32512727,40.286290252,141.662896872,岩手県九戸郡洋野町大野,
湯ったり館,4534269,39.616234831,141.793820858,岩手県宮古市茂市第８地割５３,宮古市
閉伊川,211937510,39.616912539,141.795237064,岩手県宮古市茂市,宮古市
閉伊川オートキャンプ場,393031496,39.61764991,141.792908836,岩手県宮古市茂市,宮古市
TSUTAYA 宮古店,233638941,39.635831963,141.927035451,岩手県宮古市長町１丁目８－３３,宮古市
めがね橋,2710686,39.346354991,141.350841536,岩手県遠野市宮守町下宮守,遠野市
めがねばし直売所,2640324,39.3460142,141.351364785,岩手県遠野市宮守町下宮守３０地割３７,遠野市
南部曲り家 千葉家,3144634,39.340786427,141.441786289,岩手県遠野市綾織町上綾織,遠野市
湯本温泉,11344851,39.339730692,140.77484025,岩手県和賀郡西和賀町湯之沢,
和賀川,96905645,39.355040942,140.765278674,岩手県和賀郡西和賀町湯田,
御所湖広域公園ファミリーランド,2907991,39.664107191,140.964790077,岩手県岩手郡雫石町西安庭,
雫石川園地,14011630,39.684203967,140.973215103,岩手県岩手郡雫石町明神,
岩手県立美術館,84622,39.693157814,141.12453604,岩手県盛岡市本宮字松幅１２－３,盛岡市
盛岡市アイスアリーナ,3425512,39.690917953,141.120476511,岩手県盛岡市本宮５丁目４－１,盛岡市
中央公園,475783,39.693615908,141.127023697,岩手県盛岡市本宮,盛岡市
盛岡市先人記念館 / Museum of Great Predecessors,3354356,39.694065832,141.126583815,岩手県盛岡市本宮字蛇屋敷２－２,盛岡市
鵜の巣断崖,10954901,39.889021157,141.957522262,岩手県下閉伊郡田野畑村真木沢,
潮吹穴,28991331,39.977517578,141.949093113,岩手県下閉伊郡田野畑村北山,
黒崎展望台,28952736,40.006919791,141.931905664,岩手県下閉伊郡普代村第２地割,
北山崎,5079595,39.931373425,141.887886733,岩手県下閉伊郡田野畑村田野畑,
黒崎,128185693,39.999762,141.932971,岩手県下閉伊郡普代村第２地割,
普代浜海水浴場,39251347,40.014699,141.899518,岩手県下閉伊郡普代村第７地割,
たかむろ水光園,19273222,39.353896536,141.597807432,岩手県遠野市土淵町柏崎,遠野市
遠野市,5980374,39.327724839,141.533458829,岩手県遠野市東舘町８,遠野市
伊藤家,89279428,39.330003467,141.528652629,岩手県遠野市中央通り４,遠野市
遠野市立博物館,3229308,39.327733138,141.528904438,岩手県遠野市東舘町３－９,遠野市
新安比温泉,149957445,40.121059,141.0895,岩手県八幡平市石神,八幡平市
熊野三社,57581890,38.992940271,141.111295308,岩手県西磐井郡平泉町平泉,
平泉文化遺産センター,8993701,38.993067913,141.111377118,岩手県西磐井郡平泉町平泉,
明治記念館,259746470,39.190102673,141.181008908,岩手県奥州市江刺区南町４,奥州市
遠野郷八幡宮,7515112,39.343032164,141.546105805,岩手県遠野市松崎町白岩,遠野市
ドラコン,236783717,39.338428497,141.539276123,岩手県遠野市松崎町白岩１５地割９－１,遠野市
薬師堂温泉,40857535,39.172459111,141.13943095,岩手県奥州市水沢区佐倉河,奥州市
宮古市魚市場,3479479,39.64033149,141.969238846,岩手県宮古市臨港通２－１,宮古市
浄土ヶ浜,220813,39.652191826,141.978568129,岩手県宮古市日立浜町,宮古市
みやこ浄土ヶ浜周遊船,122809360,39.648107,141.980509,岩手県宮古市日立浜町,宮古市
二戸市シビックセンター,126454076,40.26856161,141.294595756,岩手県二戸市石切所字荷渡６－３,二戸市
ふれあい公園,147176794,39.143990255,141.577437847,岩手県気仙郡住田町世田米,
天照御祖神社,191846201,39.139483,141.57734,岩手県気仙郡住田町世田米,
天神山公園,82308305,39.086484156,141.706427529,岩手県大船渡市盛町,大船渡市
川の駅よこた,4453738,39.075698079,141.579699438,岩手県陸前高田市横田町,陸前高田市
唐梅館公園,38401252,38.999548317,141.250835687,岩手県一関市東山町長坂,一関市
東北砕石工場,79647896,38.979391,141.238304,岩手県一関市東山町松川,一関市
柳之御所資料館,205888424,38.992241605,141.120730291,岩手県西磐井郡平泉町平泉,
NEWDAYS 平泉,438864263,38.98805167,141.117517948,岩手県西磐井郡平泉町平泉字泉屋７６,
とうほくニュージーランド村,14457892,39.035142932,141.087143972,岩手県奥州市衣川区日向,奥州市
牛の博物館,4499654,39.026811524,141.123371289,岩手県奥州市前沢区字南陣場,奥州市
前沢温泉 舞鶴の湯,6149142,39.030215135,141.108325018,岩手県奥州市前沢区字徳沢,奥州市
シープラザ釜石,4259679,39.273506058,141.871652537,岩手県釜石市鈴子町２２－１,釜石市
釜石駅 (Kamaishi Sta.),1314143,39.272937015,141.872822642,岩手県釜石市鈴子町２２－５,釜石市
釜石,368823993,39.274414955,141.881611722,岩手県釜石市大町２丁目３,釜石市
駅前橋上市場 サン･フィッシュ釜石,1541257,39.273029,141.871656,岩手県釜石市鈴子町２,釜石市
とんぼ,98964516,39.274538,141.868596,岩手県釜石市鈴子町１５,釜石市
黒滝温泉,139274749,39.008605009,140.980301499,岩手県奥州市衣川区上立沢,奥州市
真湯野営場,96652078,39.004294723,140.849983692,岩手県一関市厳美町,一関市
駒の湯温泉,340102728,38.91379318,140.877320766,宮城県栗原市栗駒沼倉,
栗駒山,28949440,38.958306047,140.788455936,宮城県栗原市栗駒沼倉,
上の橋,16739743,38.928747084,141.129137278,岩手県一関市中里,一関市
箱崎,83434639,38.933078386,141.129276337,岩手県一関市中央町１丁目２,一関市
御台場展望台,35872354,39.648960174,141.981397198,岩手県宮古市日立浜町,宮古市
蛸の浜,89947743,39.65226112,141.96999409,岩手県宮古市鍬ヶ崎,宮古市
熊野神社,56212672,39.650682679,141.968338272,岩手県宮古市熊野町３－１,宮古市
もりおか啄木 賢治青春館,439987,39.699787937,141.154093101,岩手県盛岡市中ノ橋通１丁目１－２５,盛岡市
プラザおでって,3051534,39.700137914,141.154663033,岩手県盛岡市中ノ橋通１丁目１,盛岡市
高松の池,397599,39.723613046,141.1435839,岩手県盛岡市高松１丁目２２,盛岡市
高松公園,6070899,39.721422,141.145397,岩手県盛岡市高松１丁目２６,盛岡市
一の○,81399727,39.707189,141.149046,岩手県盛岡市本町通２丁目１０,盛岡市
グリーンピア三陸みやこ,9828578,39.792164137,141.971793603,岩手県宮古市田老,宮古市
熊の鼻展望台,26768002,39.840234284,141.980907619,岩手県下閉伊郡岩泉町小本,
花巻新渡戸記念館,39410901,39.38921163,141.161168122,岩手県花巻市高松,花巻市
イギリス海岸,274228,39.396862538,141.126310883,岩手県花巻市上小舟渡,花巻市
割烹旅館 廣美亭,4295494,39.452054118,141.072426021,岩手県花巻市湯本,花巻市
水沢公園,2107585,39.135163445,141.139082833,岩手県奥州市水沢区中上野町１,奥州市
盛岡市こども科学館,85043,39.694107865,141.129845524,岩手県盛岡市本宮字蛇屋敷１３－１,盛岡市
遠野ふるさと村,14579694,39.470945654,141.513033314,岩手県遠野市附馬牛町上附馬牛,遠野市
駒形神社,36737191,39.419334412,141.5493927,岩手県遠野市附馬牛町上附馬牛,遠野市
小袖海女センター,28224226,40.131427462,141.807283234,岩手県久慈市宇部町,久慈市
野田村,7522973,40.110244516,141.817660332,岩手県九戸郡野田村大字野田,
同心屋敷,2404920,39.375295775,141.123054028,岩手県花巻市桜町４丁目８３－８,花巻市
桜 地人館,28467117,39.375561,141.126198,岩手県花巻市桜町４丁目１４,花巻市
呑,94451409,39.383600069,141.117106125,岩手県花巻市南川原町１２６－１,花巻市
宮沢賢治詩碑,274611,39.374814752,141.12680912,岩手県花巻市桜町４丁目,花巻市
世界の椿館・碁石,5546467,38.990717177,141.741305031,岩手県大船渡市末崎町,大船渡市
モビリア 陸前高田オートキャンプ場,7415116,38.986734052,141.677584648,岩手県陸前高田市小友町,陸前高田市
碁石海岸,5100866,39.011074971,141.704459881,岩手県大船渡市末崎町,大船渡市
ふるさとセンター,72972503,39.004284,141.709793,岩手県大船渡市末崎町,大船渡市
大船渡市立博物館,62985758,38.98939838,141.74192067,岩手県大船渡市末崎町,大船渡市
気仙大工左官伝承館,11792602,39.010733661,141.692530737,岩手県陸前高田市小友町,陸前高田市
華蔵寺,15553247,38.990379449,141.70646523,岩手県陸前高田市小友町,陸前高田市
大船渡の三面椿,98873618,38.993050587,141.727933573,岩手県大船渡市末崎町,大船渡市
碁石海岸キャンプ場,95063657,38.992161,141.741304,岩手県大船渡市末崎町,大船渡市
岩鋳鉄器館,28220633,39.67122585,141.154473048,岩手県盛岡市南仙北２丁目２３,盛岡市
深沢紅子野の花美術館,21508943,39.703199907,141.155975461,岩手県盛岡市紺屋町４－８,盛岡市
菊の司酒造,16880484,39.703678659,141.156603098,岩手県盛岡市紺屋町４－２０,盛岡市
五百羅漢,128114871,39.712063985,141.156044113,岩手県盛岡市名須川町３１,盛岡市
報恩寺,2349580,39.711934335,141.156093197,岩手県盛岡市名須川町３１,盛岡市
寺町通り / Teramati Street,17415223,39.70913455,141.153438091,岩手県盛岡市名須川町２,盛岡市
龍谷寺,2484270,39.710640828,141.154634356,岩手県盛岡市名須川町７－２,盛岡市
光台寺,14542850,39.710626385,141.153629869,岩手県盛岡市名須川町８－４,盛岡市
北上駅 (Kitakami Sta.),26136,39.281961002,141.12206161,岩手県北上市大通り１丁目１,北上市
展勝地レストハウス,8622012,39.272483034,141.1269609,岩手県北上市立花,北上市
サトウハチロー記念館,135623496,39.2729663,141.12818954,岩手県北上市立花,北上市
大堤公園,51428814,39.260203872,141.092627048,岩手県北上市相去町,北上市
花巻市,7519985,39.389932113,141.114356202,岩手県花巻市大通り１丁目１９,花巻市
花巻城址,10334028,39.391646166,141.118959234,岩手県花巻市城内１１,花巻市
鳥谷崎神社,56228162,39.389246057,141.122192753,岩手県花巻市城内７,花巻市
九戸村,28644752,40.211375602,141.418987513,岩手県九戸郡九戸村大字伊保内,
オドデ館,15831173,40.248602566,141.4163269,岩手県九戸郡九戸村大字山屋,
ミレットパーク,3884416,40.285205836,141.382477283,岩手県九戸郡軽米町大字山内,
御所野縄文公園,96486562,40.515937284,141.528766556,青森県八戸市大字湊町,
折爪岳展望台,3883488,40.264428,141.37652,岩手県九戸郡九戸村大字江刺家,
折爪岳,45740098,40.266337916,141.373669984,岩手県二戸市白鳥,二戸市
珊瑚橋,27200415,39.283523178,141.131431656,岩手県北上市立花,北上市
