太宰府天満宮,〒818-0117,福岡県太宰府市宰府4-7-1
大杣公園のシャクナゲ,〒834-1401,福岡県八女市御側
日向神峡の紅葉,〒834-1401,福岡県八女市
日向神峡（蹴洞岩）,〒834-1401,福岡県八女市矢部村日向神
御前岳,〒834-1401,福岡県八女市矢部村北矢部
広川町産業展示会館,〒834-0111,福岡県八女郡広川町大字日吉１１６４-６
広川町古墳公園資料館こふんピア広川,〒834-0122,福岡県八女郡広川町大字一條1436-2
農園（イチゴ狩り）,〒834-0104,福岡県八女郡広川町大字吉常15-3-2
久留米カントリークラブ,〒834-0105,福岡県八女郡広川町長延1243-1
筑後の森テニスクラブ,〒834-0115,福岡県八女郡広川町大字新代
逆瀬谷薬師堂,〒834-0102,福岡県八女郡広川町水原
竜光寺公園,〒834-0111,福岡県八女郡広川町大字日吉
グリートパーク,〒834-0111,福岡県八女郡広川町大字日吉
石人山古墳,〒834-0122,福岡県八女郡広川町一条
弘化谷古墳,〒834-0121,福岡県八女郡広川町大字広川
広川町協会,〒834-0111,福岡県八女郡広川町大字日吉1164-6
立花バンブー株式会社,〒834-0082,福岡県八女市立花町兼松752-1
大道谷の里,〒834-0084,福岡県八女市立花町白木4578-1
Dokomo田中さんちの農園,〒834-0084,福岡県八女市立花町白木4346-2
飛形自然公園,〒834-0084,福岡県八女市立花町白木地内
黒岩橋,〒834-0083,福岡県八女市立花町上辺春黒岩
白城の里旧大内邸,〒834-0084,福岡県八女市立花町白木3245番地
松延家住宅,〒834-0082,福岡県八女市立花町兼松240
ほたると石橋の館,〒834-1102,福岡県八女市上陽町北川内589-2
八女上陽ゴルフ倶楽部,〒834-1102,福岡県八女市上陽町北川内2914-1
大伴部博麻公碑,〒834-0001,福岡県八女市室園（北川内公園内）
北川内公園,〒834-0001,福岡県八女市室園
春の山公園,〒834-1102,福岡県八女市上陽町北川内
洗玉橋,〒834-0001,福岡県八女市星野川
星野川,〒834-1102,福岡県八女市上陽町北川内
滝の宮（縁結び不動尊）,〒834-0001,福岡県八女市上陽町納又
お茶の里記念館,〒834-1222,福岡県八女市黒木町笠原
木造聖観音立像,〒834-1203,福岡県八女市黒木町北木屋
八女茶発祥の地お茶の里公園,〒834-1222,福岡県八女市黒木町笠原
霊巌寺,〒834-1222,福岡県八女市黒木町笠原
黒木稲荷神社,〒834-1221,福岡県八女市黒木町今
明治の館,〒834-1204,福岡県八女市黒木町木屋
旧伊佐邸,〒834-1204,福岡県八女市黒木町木屋
学びの館,〒834-1221,福岡県八女市黒木町今
霊巌寺の奇岩,〒834-1222,福岡県八女市黒木町笠原
日向神渓谷,〒834-1202,福岡県八女市黒木町大渕
黒木町協会,〒834-1292,福岡県八女市黒木町今1314番1（八女市役所黒木総合支所産業経済課内）
十連寺公園,〒830-0112,福岡県久留米市三潴町西牟田6557-44
みづまの黒松,〒830-0111,福岡県久留米市
クリークの里石丸山公園,〒830-0416,福岡県三潴郡大木町大字大角
城島リバーサイドゴルフ場,〒830-0203,福岡県久留米市城島町大字浜293
酒造壁画,〒830-0211,福岡県久留米市城島町楢津764（町民の森公園）
法林寺宝篋印塔,〒830-0225,福岡県久留米市城島町下青木542
西光寺の木造阿弥陀三尊像,〒830-1211,福岡県三井郡大刀洗町本郷
床島堰,〒830-1203,福岡県三井郡大刀洗町三川
大刀洗公園,〒830-1226,福岡県三井郡大刀洗町山隈1598-5
大堰神社,〒830-1201,福岡県三井郡大刀洗町冨多
三原城址,〒830-1211,福岡県三井郡大刀洗町本郷
コスモスパーク北野,〒830-1114,福岡県久留米市北野町高良724-1
コスモス街道,〒830-1122,福岡県久留米市北野町
北野天満宮の大樟,〒830-1113,福岡県久留米市北野町中3267
うきは市立浮羽歴史民俗資料館,〒839-1401,福岡県うきは市朝田560-1
巨峰狩り,〒839-1401,福岡県うきは市浮羽町一帯
梨狩り,〒839-1408,福岡県うきは市浮羽町一帯
長岩公園,〒839-1413,福岡県うきは市浮羽町新川3020
保木公園,〒839-1408,福岡県うきは市浮羽町山北1146-1
大生寺,〒839-1411,福岡県うきは市浮羽町流川
朝田古墳群,〒839-1401,福岡県うきは市浮羽町朝田
塚花塚古墳,〒839-1401,福岡県うきは市浮羽町朝田1235-2
楠名古墳,〒839-1401,福岡県うきは市浮羽町朝田669
重定古墳,〒839-1401,福岡県うきは市浮羽町朝田681-1
平川家住宅,〒839-1414,福岡県うきは市浮羽町田篭３８３
みかん狩り,〒839-1211,福岡県久留米市田主丸町森部
ぶどう狩り,〒839-1233,福岡県久留米市田主丸町一帯
柿狩り,〒839-1233,福岡県久留米市田主丸町一帯
田主丸ふるさと会館,〒839-1233,福岡県久留米市田主丸町田主丸2000
石垣山観音寺,〒839-1212,福岡県久留米市田主丸町石垣271-8
平原古墳群,〒839-1211,福岡県久留米市田主丸町森部 田主丸平原古墳公園内
寺徳古墳,〒839-1213,福岡県久留米市田主丸町益生田
うきは市協会,〒839-1321,福岡県うきは市吉井町1043-2
吉井温泉,〒839-1304,福岡県うきは市吉井町千年
金子文夫資料展示館,〒839-1321,福岡県うきは市吉井町1316-3
うきは市立吉井歴史民俗資料館,〒839-1321,福岡県うきは市吉井町983-1
柿狩り,〒839-1321,福岡県うきは市吉井町耳納山麓一帯
屋部地蔵公園,〒839-1331,福岡県うきは市吉井町屋部
長野水神社,〒839-1301,福岡県うきは市吉井町桜井208-1
日岡古墳,〒839-1311,福岡県うきは市吉井町若宮366-1
月岡古墳,〒839-1311,福岡県うきは市吉井町若宮366-1
鳥船塚古墳,〒839-1333,福岡県うきは市吉井町富永
珍敷塚古墳,〒839-1333,福岡県うきは市吉井町富永649-3
古畑古墳,〒839-1333,福岡県うきは市吉井町富永
居蔵の館,〒839-1321,福岡県うきは市吉井町1103-1
鏡田屋敷,〒839-1321,福岡県うきは市吉井町若宮113-1
延寿寺曽根のハゼ並木,〒839-1332,福岡県うきは市吉井町東延寿寺
筑後吉井のぼたん園（喜笙園）,〒839-1305,福岡県うきは市吉井町福永166-2
芥屋ふれあい市,〒819-1335,福岡県糸島市志摩岐志911 (旧ＪＡ糸島芥屋支店）
小富士物産直売所「愛菜」,〒819-1321,福岡県糸島市志摩小富士947
芥屋の大門周遊遊覧船,〒819-1335,福岡県糸島郡志摩町芥屋520
志摩町歴史資料館,〒819-1312,福岡県糸島郡志摩町初1番地
新町遺跡展示館,〒819-1333,福岡県糸島市志摩新町
地引網（志摩）,〒819-1333,福岡県糸島市志摩新町476-1
姫島,〒819-1336,福岡県糸島市志摩姫島
大門自然歩道,〒819-1301,福岡県糸島市志摩芥屋
立石山自然歩道,〒819-1301,福岡県糸島市
志摩シーサイドカンツリークラブ,〒819-1303,福岡県糸島市志摩野北575
芥屋ゴルフ倶楽部,〒819-1335,福岡県糸島市芥屋1-1
芥屋野営場,〒819-1335,福岡県糸島市志摩芥屋2564
西林寺,〒819-1322,福岡県糸島市志摩御床355
小富士梅林,〒819-1321,福岡県糸島市志摩小富士
六所神社の大樟,〒819-1305,福岡県糸島市志摩馬場
幣の浜海岸,〒819-1323,福岡県糸島市志摩小金丸
立石山,〒819-1301,福岡県糸島市志摩芥屋
協会志摩本所,〒819-1312,福岡県糸島市志摩初２６-１
深江地引網,〒819-1613,福岡県糸島市二丈深江
深江海水浴場,〒819-1601,福岡県糸島市二丈深江
龍国寺,〒819-1626,福岡県糸島市二丈波呂474
鎮懐石八幡宮,〒819-1601,福岡県糸島市二丈深江2143-1
浮嶽神社,〒819-1641,福岡県糸島市二丈吉井
銚子塚古墳,〒819-1615,福岡県糸島市二丈田中
千寿院の滝,〒819-1624,福岡県糸島市二丈満吉
協会二丈支所,〒819-1642,福岡県糸島市二丈鹿家844-13
行者杉・行者堂,〒838-1601,福岡県朝倉郡東峰村大字小石原
岩屋神社,〒838-1701,福岡県朝倉郡東峰村大字宝珠山
山村文化交流の郷 いぶき館,〒838-1702,福岡県朝倉郡東峰村大字福井2296-1
農産物直売所「いちご」,〒838-0802,福岡県朝倉郡筑前町久光915-1
朝採り市場「とまと」,〒838-0214,福岡県朝倉郡筑前町東小田1650-1
炭焼池公園,〒838-0206,福岡県朝倉郡筑前町曽根田1179
曽根田親水公園,〒838-0206,福岡県朝倉郡筑前町曽根田640-1
安の里公園,〒838-0215,福岡県朝倉郡筑前町篠隈673-1
藤の里公園,〒838-0821,福岡県朝倉郡筑前町上高場1793-1
焼ノ峠古墳,〒838-0212,福岡県朝倉郡筑前町四三嶋239-115
仙道古墳,〒838-0802,福岡県朝倉郡筑前町久光106
釈迦岳温泉,〒838-1701,福岡県朝倉郡東峰村大字宝珠山１１
釈迦岳遊歩道,〒838-1700,福岡県朝倉郡東峰村
岩屋自然歩道,〒838-1700,福岡県朝倉郡東峰村
岩屋キャンプ場,〒838-1701,福岡県朝倉郡東峰村大字宝珠山4171
岩屋公園,〒838-1701,福岡県朝倉郡東峰村大字宝珠山
岩屋の玄海ツツジ,〒838-1701,福岡県朝倉郡東峰村岩屋
岩屋公園(国定),〒838-1701,福岡県朝倉郡東峰村大字宝珠山
釈迦ヶ岳,〒838-1701,福岡県朝倉郡東峰村大字宝珠山
小石原焼伝統産業会館,〒838-1601,福岡県朝倉郡東峰村大字小石原字皿山
森林浴遊歩道,〒838-1700,福岡県朝倉郡東峰村
ポーン太の森キャンプ場,〒838-1602,福岡県朝倉郡東峰村大字小石原鼓
馬見山,〒838-0012,福岡県朝倉郡東峰村大字小石原
国立夜須高原青少年自然の家,〒838-0202,福岡県朝倉郡筑前町三箇山 1103
五玉神社,〒838-0202,福岡県朝倉郡筑前町三箇山1144-1
夜須高原,〒838-0201,福岡県朝倉郡筑前町
秋の田句碑,〒838-0000,福岡県朝倉市山田166
朝倉町総合運動公園,〒838-1302,福岡県朝倉市宮野
木の丸公園,〒838-1306,福岡県朝倉市山田
宮地嶽公園,〒838-1301,福岡県朝倉市宮野
橘の広庭公園,〒838-1304,福岡県朝倉市須川
南淋寺,〒838-1302,福岡県朝倉市宮野87
恵蘇八幡宮,〒838-1306,福岡県朝倉市山田１６６
橘広庭宮跡,〒838-1304,福岡県朝倉市須川
堀川用水及び朝倉揚水車,〒838-1307,福岡県朝倉市菱野
長安寺廃寺跡,〒838-1304,福岡県朝倉市須川
隠家森,〒838-1306,福岡県朝倉市恵蘇宿
巨峰狩,〒838-1521,福岡県朝倉市杷木志波
柿狩,〒838-1521,福岡県朝倉市杷木志波
大手山2000年公園,〒838-1514,福岡県朝倉市杷木古賀1164-1
普門院,〒838-1521,福岡県朝倉市杷木志波5376
杷木神篭石,〒838-1506,福岡県朝倉市林田
円清寺の「銅鐘」,〒838-1521,福岡県朝倉市杷木志波政所
普門院木造十一面観音立像,〒838-1521,福岡県朝倉市杷木志波5376
普門院本堂,〒838-1521,福岡県朝倉市杷木志波5376
北九州カントリー倶楽部,〒820-1112,福岡県飯塚市鹿毛馬412-6
国境石,〒820-1112,福岡県飯塚市大字鹿毛馬6-1・2-1
鹿毛馬神籠石（国指定）,〒820-1112,福岡県飯塚市鹿毛馬
旧松喜醤油屋,〒820-1111,福岡県飯塚市大字勢田字仲村730
庄四季物,〒820-0101,福岡県飯塚市綱分802-14 庄内支所前
茜ゴルフ倶楽部,〒820-0712,福岡県飯塚市大分1931
サンビレッジ茜,〒820-0711,福岡県飯塚市山口845-38
大分八幡宮,〒820-0712,福岡県飯塚市大分
養源寺,〒820-0712,福岡県飯塚市大分1281
大分廃寺塔跡,〒820-0712,福岡県飯塚市大分
内野宿,〒820-0706,福岡県飯塚市内野
大分八幡宮の大樟,〒820-0712,福岡県飯塚市大分
三郡山,〒820-0709,福岡県飯塚市
大根地山,〒818-0003,福岡県飯塚市内野
九州りんご村,〒820-0321,福岡県嘉麻市大字馬見字宮小路
馬見山キャンプ村,〒820-0312,福岡県嘉麻市馬見3179-1
母里太兵衛の墓,〒820-0302,福岡県嘉麻市大隈町
麟翁寺,〒820-0302,福岡県嘉麻市大隈
鮭神社,〒820-0304,福岡県嘉麻市大隈
古処山のツゲ原生林,〒820-0332,福岡県嘉麻市千手
古処山,〒838-0012,福岡県嘉麻市
碓井琴平文化館,〒820-0502,福岡県嘉麻市上臼井767
お菊大明神（皿屋敷跡）,〒820-0502,福岡県嘉麻市上臼井
稲築町文化ふれあい伝承館,〒820-0202,福岡県嘉麻市大字山野1619-4
嘉麻市ふるさと交流館なつきの湯,〒820-0206,福岡県嘉麻市大字鴨生24-10
山野の石像群（五百羅漢）,〒820-0202,福岡県嘉麻市山野1609
石造三重塔・阿弥陀如来石仏（通称正平塔・正平仏）,〒820-0203,福岡県嘉麻市平
沖出古墳公園,〒820-0201,福岡県嘉麻市大字漆生78-1
稲築公園,〒820-0207,福岡県嘉麻市大字岩崎1084、1096
三郎丸の大樟,〒820-0207,福岡県嘉麻市口春字三郎丸322
王塚装飾古墳館,〒820-0603,福岡県嘉穂郡桂川町大字寿命３７６番地
麻生飯塚ゴルフ倶楽部,〒820-0609,福岡県嘉穂郡桂川町大字吉隅120
湯の浦キャンプ場,〒820-0607,福岡県嘉穂郡桂川町大字土師４６５０-４
ブドウ狩り,〒822-0133,福岡県宮若市脇田 宮若市協会
プリンスゴルフクラブ,〒822-0153,福岡県宮若市山口148
若宮ゴルフクラブ,〒822-0131,福岡県宮若市大字乙野1121
西鞍の丘総合運動公園,〒822-0131,福岡県宮若市乙野
力丸ダム湖,〒822-0122,福岡県宮若市下
石炭記念館,〒823-0005,福岡県宮若市上大隈573番地
ザ・クラシックゴルフ倶楽部,〒823-0017,福岡県宮若市倉久1-3
宮若市いこいの里千石キャンプ場,〒823-0011,福岡県宮若市千石
千石公園,〒823-0011,福岡県宮若市宮田
毘沙門さま（普光寺）,〒823-0004,福岡県宮若市磯光2530
霊験寺（釘抜地蔵尊）,〒823-0014,福岡県宮若市下有木1083-2
くらじの郷,〒807-1305,福岡県鞍手郡鞍手町大字新延414-1
鞍手町歴史民俗博物館,〒807-1311,福岡県鞍手郡鞍手町大字小牧2097
ムーンレイクゴルフクラブ 鞍手コース,〒807-1308,福岡県鞍手郡鞍手町八尋1331
大谷自然公園,〒807-1306,福岡県鞍手郡鞍手町大字古門３４番地
伊藤常足翁旧宅,〒807-1306,福岡県鞍手郡鞍手町大字古門1256
鞍手公園,〒807-1312,福岡県鞍手郡鞍手町大字中山2802-7
熱田宮,〒807-1313,福岡県鞍手郡鞍手町大字新北1565-1
長谷寺,〒807-1314,福岡県鞍手郡鞍手町大字長谷547
中山不動尊,〒807-1312,福岡県鞍手郡鞍手町大字中山1441
長谷観音,〒807-1314,福岡県鞍手郡鞍手町大字長谷547
新延大塚古墳,〒807-1305,福岡県鞍手郡鞍手町大字新延
高木薬師如来（明福寺飛地境内）,〒807-1313,福岡県鞍手郡鞍手町新北
古月横穴,〒807-1306,福岡県鞍手郡鞍手町古門
剣岳城跡,〒807-1312,福岡県鞍手郡鞍手町大字中山1590-5
六ケ岳,〒807-1307,福岡県鞍手郡鞍手町室木
愛菜の家,〒820-1106,福岡県鞍手郡小竹町南良津103-1
ミッションバレーゴルフクラブ,〒820-1103,福岡県鞍手郡小竹町大字勝野1870-1
合屋古墳,〒820-1101,福岡県鞍手郡小竹町御徳
長崎街道,〒820-1101,福岡県鞍手郡小竹町
遠賀川温泉,〒811-4312,福岡県遠賀郡遠賀町浅木61-1
チサンカントリークラブ遠賀,〒811-4321,福岡県遠賀郡遠賀町虫生津1612-3
遠賀総合運動公園 キャンプ場,〒811-4302,福岡県遠賀郡遠賀町大字広渡23-6
島津丸山古墳,〒811-4301,福岡県遠賀郡遠賀町島津地内
みかん狩,〒811-4201,福岡県遠賀郡岡垣町町内
漢方巨峰狩,〒811-4201,福岡県遠賀郡岡垣町町内
宝樹院,〒811-4221,福岡県遠賀郡岡垣町大字山田934-1
真福寺,〒811-4201,福岡県遠賀郡岡垣町大字波津４４７
大原神社,〒811-4202,福岡県遠賀郡岡垣町大字原６９５
海蔵寺,〒811-4203,福岡県遠賀郡岡垣町大字内浦９３１
氏森神社,〒811-4221,福岡県遠賀郡岡垣町大字山田９３１
赤レンガアーチ,〒811-4231,福岡県遠賀郡岡垣町大字海老津
金刀毘羅山,〒811-4231,福岡県遠賀郡岡垣町大字海老津
湯川山さくら道,〒811-4203,福岡県遠賀郡岡垣町大字内浦
孟宗金明竹,,福岡県遠賀郡岡垣町町内
三里松原,,福岡県遠賀郡岡垣町北部
湯川山,,福岡県遠賀郡岡垣町西部
岡垣町協会,〒811-4233,福岡県遠賀郡岡垣町野間1-1-1
堀川歴史公園,〒807-0045,福岡県遠賀郡水巻町吉田東3丁目地内
夏井ヶ浜はまゆう公園,〒807-0141,福岡県遠賀郡芦屋町大字山鹿796
魚見公園,〒807-0141,福岡県遠賀郡芦屋町大字山鹿
城山公園,〒807-0141,福岡県遠賀郡芦屋町山鹿
神武天皇社,〒807-0112,福岡県遠賀郡芦屋町正門町１４番
芦屋釜の里,〒807-0141,福岡県遠賀郡芦屋町大字山鹿１５５８番地３
魚見公園展望所,〒807-0141,福岡県遠賀郡芦屋町山鹿魚見
芦屋,〒807-0101,福岡県遠賀郡芦屋町
千光院の大ソテツ,〒807-0121,福岡県遠賀郡芦屋町船頭町
芦屋町協会,〒807-0133,福岡県遠賀郡芦屋町大字芦屋1455-284
大島案内所,〒811-3701,福岡県宗像市大島 大島ターミナル内
かんす海水浴場,〒811-3701,福岡県宗像市大島
宗像大社沖津宮遙拝所,〒811-3701,福岡県宗像市大島
宗像大社中津宮,〒811-3701,福岡県宗像市大島182-1
ハマヒサカキ,〒811-3701,福岡県宗像市大島神崎
馬蹄岩,〒811-3701,福岡県宗像市神崎
三浦洞窟,〒811-3701,福岡県宗像市神崎
神崎,〒811-3701,福岡県宗像市
御嶽山,〒811-3701,福岡県宗像市大島
県立少年自然の家「玄海の家」,〒811-3501,福岡県宗像市神湊1276
地引網,〒811-3512,福岡県宗像市鐘崎
深浜海水浴場,〒811-3512,福岡県宗像市鐘崎
神湊海水浴場,〒811-3501,福岡県宗像市神湊
ユーアイゴルフクラブ宗像,〒811-3503,福岡県宗像市牟田尻2020
玄海ゴルフクラブ,〒811-3502,福岡県宗像市江口578-18
興聖寺,〒811-3505,福岡県宗像市田島1472
桜京古墳,〒811-3503,福岡県宗像市牟田尻（字桜京）２０１９番地
鐘崎貝塚,〒811-3512,福岡県宗像市上八林番下浜山１１３-１
泉福寺のエノキ,〒811-3512,福岡県宗像市鐘崎469
大クス,〒811-3505,福岡県宗像市田島2241 氏八幡神社
藤の木,〒811-3512,福岡県宗像市江口1330番地
イヌマキ天然林,〒811-3512,福岡県宗像市鐘崎２２４ 織幡神社
孔大寺の大イチョウ,〒811-3515,福岡県宗像市池田２７４２
地島,〒811-3401,福岡県宗像市地島
鐘ノ岬,〒811-3512,福岡県宗像市鐘崎
孔大寺山,〒811-3401,福岡県宗像市
津屋崎海水浴場,〒811-3304,福岡県福津市津屋崎
大峰山キャンプ場,〒811-3307,福岡県福津市渡
大峰山自然公園,〒811-3307,福岡県福津市渡
東郷公園の桜,〒811-3307,福岡県福津市渡
津屋崎海岸,〒811-3304,福岡県福津市津屋崎
みずがめの郷,〒811-3206,福岡県福津市久末86-6
農産物直販施設なのみの里,〒811-2302,福岡県糟屋郡粕屋町大字大隈1229
平塚古墳,〒811-2301,福岡県糟屋郡粕屋町大字上大隈
自然歩道立花・三日月コース,〒811-2501,福岡県糟屋郡久山町
遠見岳,〒811-2501,福岡県糟屋郡久山町
新宮海水浴場,福岡県糟屋郡新宮町
梅岳寺,〒811-0102,福岡県糟屋郡新宮町大字立花口1275番地
独鈷寺,〒811-0102,福岡県糟屋郡新宮町大字立花口1098
立花城址,〒811-0102,福岡県糟屋郡新宮町大字立花口
横大路家住宅（千年家）,〒811-0117,福岡県糟屋郡新宮町大字上府420番地
立花山クスノキ原生林,〒811-0101,福岡県糟屋郡新宮町
立花山,〒811-0102,福岡県糟屋郡新宮町大字立花口
新宮町協会,〒811-0112,福岡県糟屋郡新宮町大字下府3-17-1
須恵町立久我記念館,〒811-2113,福岡県糟屋郡須惠町大字須恵77-1
須恵町立歴史民俗資料館,〒811-2114,福岡県糟屋郡須惠町大字上須恵21-3
左谷山建正寺,〒811-2115,福岡県糟屋郡須惠町佐谷
岳城山,〒811-2101,福岡県糟屋郡須惠町
鉄道記念公園,福岡県糟屋郡志免町志免中央2-7
平成の森公園,〒811-2208,福岡県糟屋郡志免町大字吉原660
志免総合公園,〒811-2207,福岡県糟屋郡志免町大字南里640-1
七夕池古墳,〒811-2204,福岡県糟屋郡志免町田富3-18
志免鉱業所跡竪坑及び第八坑関連地区,〒811-2202,福岡県糟屋郡志免町大字志免７１５番地１２ほか
旧志免鉱業所竪坑櫓,〒811-2202,福岡県糟屋郡志免町大字志免４９５-３
大和の森遊歩道,〒811-2411,福岡県糟屋郡篠栗町大字若杉
若杉自然歩道,〒811-2413,福岡県糟屋郡篠栗町大字若杉
篠栗四国霊場（お遍路）,〒811-2401,福岡県糟屋郡篠栗町
清流公園なるふち平,〒811-2405,福岡県糟屋郡篠栗町篠栗
樹芸の森,〒811-2402,福岡県糟屋郡篠栗町大字金出3252番地1
新吉野公園,〒811-2405,福岡県糟屋郡篠栗町城戸郷の原
観音公園,〒811-2402,福岡県糟屋郡篠栗町金出
鳴淵ダム,〒811-2405,福岡県糟屋郡篠栗町大字篠栗、金出
峯尾展望台,〒811-2405,福岡県糟屋郡篠栗町大字篠栗
鳴淵ダム展望台広場,〒811-2402,福岡県糟屋郡篠栗町大字金出
新吉野公園の桜,〒811-2405,福岡県糟屋郡篠栗町城戸郷の原
花観音,〒811-2405,福岡県糟屋郡篠栗町大字篠栗
荒田高原,〒811-2405,福岡県糟屋郡篠栗町大字篠栗
宇美町立歴史民俗資料館,〒811-2101,福岡県糟屋郡宇美町宇美一丁目１番２２号
宇美町総合スポーツ公園,〒811-2108,福岡県糟屋郡宇美町ゆりが丘一丁目2番
光正寺古墳公園,〒811-2101,福岡県糟屋郡宇美町光正寺二丁目4537-11
昭和の森,〒811-2101,福岡県糟屋郡宇美町大字宇美字正楽
宇美公園,〒811-2122,福岡県糟屋郡宇美町明神坂1丁目4684-1
衣掛の森,〒811-2101,福岡県糟屋郡宇美町宇美一丁目１番１号 宇美八幡宮
蚊田の森,〒811-2101,福岡県糟屋郡宇美町宇美一丁目１番１号 宇美八幡宮
三郡山のツクシシャクナゲ,〒811-2101,福岡県糟屋郡宇美町三郡山
湯蓋の森,〒811-2101,福岡県糟屋郡宇美町宇美一丁目１番１号 宇美八幡宮
難所ヶ滝,〒811-2101,福岡県糟屋郡宇美町
頭巾山,〒811-2101,福岡県糟屋郡宇美町
佛頂山,〒811-2101,福岡県糟屋郡宇美町
三郡山,〒811-2101,福岡県糟屋郡宇美町
筑紫ケ丘ゴルフクラブ,〒811-1241,福岡県筑紫郡那珂川町大字後野字早口571
大博多カントリー倶楽部,〒811-1232,福岡県筑紫郡那珂川町大字埋金字四郎五郎5
グリーンピアなかがわキャンプ村,〒811-1234,福岡県筑紫郡那珂川町大字五ケ山870-2
グリーンピアなかがわ スキップ広場,〒811-1234,福岡県筑紫郡那珂川町大字五ケ山870-2
筑紫耶馬渓,〒811-1233,福岡県筑紫郡那珂川町大字市ノ瀬〜大字五ヶ山
お牧山キャンプ場,〒835-0114,福岡県みやま市山川町甲田2650-1
清水寺三重塔,〒835-0003,福岡県みやま市瀬高町本吉1119-1 清水寺
御座敷梅林・御座敷盆梅,〒835-0102,福岡県みやま市山川町尾野
天保古平家一本桜,〒835-0113,福岡県みやま市山川町重冨
御牧山,〒835-0114,福岡県みやま市山川町甲田
嘉穂アルプス九州自然歩道,,福岡県嘉麻市
益富城自然公園,〒820-0303,福岡県嘉麻市中益248番地
嘉穂総合運動公園,〒820-0306,福岡県嘉麻市上西郷1482番地１
織田廣喜美術館,〒820-0502,福岡県嘉麻市上臼井767番地
長谷山,,福岡県嘉麻市
鴨ヶ岳,,福岡県嘉麻市
三高山,,福岡県嘉麻市
白馬山,,福岡県嘉麻市
大法山,,福岡県嘉麻市
馬見山,,福岡県嘉麻市
屏山,,福岡県嘉麻市
吉井百年公園,〒839-1333,福岡県うきは市吉井町富永423-1
佐藤家庭園,〒839-1412,福岡県うきは市浮羽町小塩2339
ゆる〜っと、ほっこり。森林セラピー,〒839-1393,福岡県うきは市吉井町新治316番地
うきは市協会 浮羽支局,〒839-1408,福岡県うきは市浮羽町山北729-2
あんずの里ふれあいの館,〒811-3521,福岡県福津市勝浦1667番地の1
あんずの里運動公園,〒811-3521,福岡県福津市勝浦1706番地の1
津屋崎千軒,〒811-3304,福岡県福津市津屋崎
福津市協会,〒811-3217,福岡県福津市中央3-8-1
薬王寺温泉,〒811-3124,福岡県古賀市薬王寺
古賀市コスモス館,〒811-3134,福岡県古賀市青柳658-1
古賀ゴルフ・クラブ,〒811-3105,福岡県古賀市鹿部1310-1
古賀グリーンパーク,〒811-3133,福岡県古賀市青柳町587-1
青柳宿構口跡,〒811-3133,福岡県古賀市青柳町
興山園の桜・ツツジ,〒811-3123,福岡県古賀市米多比
伊都郷土美術館,〒819-1119,福岡県糸島市前原東2丁目2-8(伊都文化会館横）
糸島高校郷土博物館,〒819-1139,福岡県糸島市前原南2丁目21-1
水無林間歩道,〒819-1100,福岡県糸島市
雷山自然歩道,〒819-1145,福岡県糸島市雷山
井原山自然歩道,〒819-1582,福岡県糸島市井原
怡土城跡周回連絡歩道,〒819-1101,福岡県糸島市高祖
雷山周回自然歩道,〒819-1145,福岡県糸島市雷山
怡土城跡探望歩道,〒819-1101,福岡県糸島市
福岡雷山ゴルフ倶楽部,〒819-1574,福岡県糸島市川原807番地
伊都ゴルフ倶楽部,〒819-1147,福岡県糸島市香力474
糸島市立瑞梅寺山の家キャンプ場,〒819-1581,福岡県糸島市瑞梅寺658
糸島市農業公園「ファームパーク伊都国」,〒819-1571,福岡県糸島市高祖７４７の１
雷神社,〒819-1145,福岡県糸島市雷山148
高祖神社,〒819-1571,福岡県糸島市高祖1240
志登神社,〒819-1106,福岡県糸島市志登82
金龍寺,〒819-1571,福岡県糸島市高祖1289
宇美八幡宮,〒819-1155,福岡県糸島市川付787
平原歴史公園,〒819-1561,福岡県糸島市有田
雷山神籠石,〒819-1145,福岡県糸島市雷山，飯原
怡土城跡,〒819-1563,福岡県糸島市高来寺，大門，高祖
三雲南小路遺跡,〒819-1583,福岡県糸島市三雲
志登支石墓群,〒819-1106,福岡県糸島市志登
雷山神籠石,〒819-1100,福岡県糸島市雷山、飯原
はまぼう,〒819-1101,福岡県糸島市（糸島市前原と糸島市志摩の境を流れる泉川の両岸。）
大悲王院の楓,〒819-1145,福岡県糸島市雷山626
井原山,〒819-1581,福岡県糸島市瑞梅寺
高祖山,〒819-1571,福岡県糸島市高祖
協会前原支所,〒819-1116,福岡県糸島市前原中央1-1-10
太宰府市地域活性化複合施設『太宰府館』,〒818-0117,福岡県太宰府市宰府三丁目２-３
太宰府天満宮菅公歴史館,〒818-0117,福岡県太宰府市宰府4-7-1
九州歴史資料館,〒838-0106,福岡県小郡市三沢5208-3
九州自然歩道太宰府コース,〒818-0101,福岡県太宰府市
歴史の散歩道,〒818-0101,福岡県太宰府市
