太宰府天満宮,〒818-0117　福岡県太宰府市宰府4-7-1観光
求菩提のヒメシャガ,〒828-0001　福岡県豊前市観光
恐ヶ淵,〒828-0001　福岡県豊前市観光
経読岳,〒828-0001　福岡県豊前市観光
求菩提山,〒828-0001　福岡県豊前市観光
犬ヶ岳,〒828-0001　福岡県豊前市観光
豊前市観光文化協会,〒828-0021　福岡県豊前市八屋2013-2観光
長井浜海水浴場,〒824-0014　福岡県行橋市長井観光
御所ヶ谷自然公園,〒824-0047　福岡県行橋市津積観光
浄喜寺,〒824-0018　福岡県行橋市今井1802観光
水哉園,〒824-0055　福岡県行橋市上稗田観光
琵琶隈古墳,〒824-0068　福岡県行橋市延永字観光
御所ケ谷神篭石,〒824-0047　福岡県行橋市津積観光
行橋赤れんが館,〒824-0003　福岡県行橋市大橋三丁目7番14号 旧百三十銀行行橋支店観光
U-ZONE（大川家具工業団地協同組合）,〒831-0006　福岡県大川市大字中古賀1048-1観光
インテリア館エルバーレ,〒831-0021　福岡県大川市大字大橋266観光
大川市立清力美術館,〒831-0008　福岡県大川市大字鐘ヶ江77-1観光
古賀政男記念館,〒831-0026　福岡県大川市三丸844観光
エツ狩り（エツ漁）,〒831-0001　福岡県大川市内各漁港付近（筑後川下流）観光
導流堤,〒831-0001　福岡県大川市筑後川観光
大川公園,〒831-0016　福岡県大川市酒見観光
大川中央公園,〒831-0031　福岡県大川市上巻観光
白鷺の大樟,〒831-0016　福岡県大川市酒見観光
井原堤水辺公園,〒833-0053　福岡県筑後市大字西牟田観光
山梔窩,〒833-0027　福岡県筑後市水田観光
九州芸文館,〒833-0015　福岡県筑後市津島1131観光
ハゼ並木,〒833-0054　福岡県筑後市大字蔵数観光
矢部川,〒833-0001　福岡県筑後市観光
八女伝統工芸館,〒834-0031　福岡県八女市本町2-123-2観光
八女市立図書館坂本繁二郎画伯資料室,〒834-0031　福岡県八女市大字本町536-3観光
八女手すき和紙資料館,〒834-0031　福岡県八女市大字本町2-123-2観光
矢部川,〒834-0012　福岡県八女市山内７４８観光
弥生の広場,〒834-0006　福岡県八女市大字吉田1557-1観光
福島八幡宮,〒834-0031　福岡県八女市大字本町105-1観光
丸山塚古墳,〒834-0001　福岡県八女市大字宅間田1002他観光
童男山古墳,〒834-0012　福岡県八女市大字山内1281観光
茶臼塚古墳,〒834-0001　福岡県八女市大字宅間田967他観光
岩戸山古墳,〒834-0006　福岡県八女市大字吉田1549他観光
丸山古墳,〒834-0015　福岡県八女市大字本2795他観光
乗場古墳,〒834-0006　福岡県八女市大字吉田1640他観光
旧木下家住宅「堺屋」,〒834-0031　福岡県八女市大字本町184観光
茶畑,〒834-0001　福岡県八女市観光
八女電照菊,〒834-0014　福岡県八女市忠見観光
八女市横町町家交流館,〒834-0031　福岡県八女市大字本町94番地観光
天福寺の菩提樹,〒834-0023　福岡県八女市大字馬場658 天福寺境内観光
鈍土羅の樟,〒834-0023　福岡県八女市大字馬場282 熊野神社境内観光
山内のチシャノキ,〒834-0012　福岡県八女市大字山内544 祇園神社境内観光
八女市観光協会,〒834-0031　福岡県八女市大字本町2-123-2観光
甘木歴史資料館,〒838-0068　福岡県朝倉市甘木216-2観光
秋月郷土館,〒838-0001　福岡県朝倉市秋月野鳥532-2観光
秋月カントリークラブ,〒838-0020　福岡県朝倉市美奈宣の杜4-1-1観光
福岡センチュリーゴルフ倶楽部,〒838-0027　福岡県朝倉市板屋1-1観光
鳥屋山キャンプ場,〒838-0071　福岡県朝倉市佐田観光
バタバタ市,〒838-0068　福岡県朝倉市甘木（八日町）観光
甘木盆俄,〒838-0068　福岡県朝倉市甘木198-1観光
安長寺,〒838-0068　福岡県朝倉市大字甘木八日町観光
古心寺,〒838-0001　福岡県朝倉市秋月757観光
古処山城跡,〒838-0011　福岡県朝倉市野鳥観光
武家屋敷久野邸,〒838-0001　福岡県朝倉市秋月83-2観光
石田家住宅,〒838-0001　福岡県朝倉市秋月519観光
長屋門,〒838-0011　福岡県朝倉市秋月野鳥観光
須賀神社の大樟,〒838-0068　福岡県朝倉市甘木873-5観光
甘木公園の桜,〒838-0061　福岡県朝倉市菩提寺観光
古処山のツゲ,〒838-0012　福岡県朝倉市野鳥観光
大法白馬山自然遊歩道,〒820-0200　福岡県嘉麻市
安国寺,〒821-0011　福岡県嘉麻市下山田観光
柳川温泉南風,〒832-0058　福岡県柳川市上宮永町6-3観光
むつごろうランド,〒832-0052　福岡県柳川市橋本町389観光
松月文人館,〒832-0826　福岡県柳川市三橋町高畑329観光
立花家史料館,〒832-0069　福岡県柳川市新外町1番地観光
潮干狩り,〒832-0001　福岡県柳川市観光
長谷健文学碑,〒832-0076　福岡県柳川市坂本町柳城公園内観光
藤村作先生顕彰碑,〒832-0069　福岡県柳川市新外町　水辺の散歩道沿い観光
劉寒吉うなぎ供養碑,〒832-8601　福岡県柳川市坂本町柳城公園内　水辺の散歩道沿い観光
檀一雄墓碑,〒832-0046　福岡県柳川市奥卅町福厳寺内観光
帰去来の詩碑（白秋詩碑苑）,〒832-0056　福岡県柳川市矢留本町観光
安東省菴の墓「三忠苑」,〒832-0022　福岡県柳川市旭町浄華寺内観光
木村緑平句碑,〒832-0076　福岡県柳川市坂本町柳城公園内観光
檀一雄文学顕彰碑,〒832-0069　福岡県柳川市新外町観光
高浜虚子句碑,〒832-0021　福岡県柳川市新町観光
戸島氏庭園,〒832-0067　福岡県柳川市鬼童町49-3観光
真勝寺,〒832-0032　福岡県柳川市新町5-10観光
福厳寺,〒832-0046　福岡県柳川市奥州町32-1観光
崇久寺,〒832-0006　福岡県柳川市東蒲池1472-1観光
旧戸島家住宅,〒832-0067　福岡県柳川市鬼童町49-3観光
有明海の干潟,〒832-0001　福岡県柳川市観光
梅の木街道,〒832-0087　福岡県柳川市七ツ家
椛島菖蒲園,〒832-0045　福岡県柳川市本町
有明海潮干潟,〒832-0001　福岡県柳川市観光
田川市美術館,〒825-0016　福岡県田川市新町11-56観光
成道寺公園,〒825-0003　福岡県田川市白鳥町2088-1観光
丸山公園,〒826-0033　福岡県田川市丸山町19-1観光
風治八幡宮,〒825-0014　福岡県田川市魚町2-30観光
成道寺,〒825-0003　福岡県田川市白鳥町観光
中村美術館,〒826-0041　福岡県田川市大字弓削田関の山3782-1観光
丸山公園染井吉野,〒826-0033　福岡県田川市丸山町観光
成道寺公園のツツジ,〒825-0003　福岡県田川市白鳥町観光
岩屋鍾乳洞,〒825-0004　福岡県田川市夏吉観光
農楽園八木山（株）,〒820-0047　福岡県飯塚市大字八木山259観光
伊川温泉,〒820-0054　福岡県飯塚市伊川観光
八木山高原ピクニカ共和国,〒820-0047　福岡県飯塚市大字八木山観光
八木山花木園,〒820-0047　福岡県飯塚市大字八木山観光
飯塚市歴史資料館,〒820-0011　福岡県飯塚市柏の森959-1 飯塚市歴史資料館観光
八木山観光りんご園,〒820-0047　福岡県飯塚市八木山631観光
渓流公園自然歩道,〒820-0047　福岡県飯塚市八木山
皐月ゴルフ倶楽部 竜王コース,〒820-0047　福岡県飯塚市八木山1310観光
法橋琳弁石卒都婆,〒820-0022　福岡県飯塚市明星寺観光
貝原益軒の碑,〒820-0047　福岡県飯塚市八木山観光
八木山展望公園,〒820-0046　福岡県飯塚市大日寺観光
旌忠公園,〒820-0003　福岡県飯塚市立岩観光
笠城ダム公園,〒820-0051　福岡県飯塚市庄司観光
宝幢寺,〒820-0052　福岡県飯塚市相田観光
イイヅカコスモスコモン,〒820-0041　福岡県飯塚市飯塚14-66 イイヅカコスモスコモン観光
八木山展望台,〒820-0046　福岡県飯塚市大日寺観光
筑豊のボタ山,〒820-0001　福岡県飯塚市（稲築町・穂波町）観光
天然記念物鎮西カツラの木,〒820-0049　福岡県飯塚市建花寺観光
遠賀川中の島のコスモス,〒820-0040　福岡県飯塚市大字吉原町観光
八木山峠のサクラ,〒820-0047　福岡県飯塚市八木山観光
八木山高原,〒820-0047　福岡県飯塚市八木山観光
竜王山,〒820-0049　福岡県飯塚市建花寺・蓮台寺・大日寺・明星寺等観光
飯塚観光協会,〒820-0040　福岡県飯塚市吉原町6-12観光
直方歳時館,〒822-0015　福岡県直方市新町1丁目666-1観光
直方谷尾美術館別館,〒822-0027　福岡県直方市古町10-20観光
直方谷尾美術館,〒822-0017　福岡県直方市殿町10-35観光
九州自然歩道,〒822-0001　福岡県直方市
尺岳〜福智山自然遊歩道,〒822-0001　福岡県直方市
内ケ磯青少年野外訓練所,〒822-0002　福岡県直方市頓野内ケ磯観光
水町遺跡公園,〒822-0006　福岡県直方市大字上境49-1観光
多賀公園,〒822-0016　福岡県直方市直方御館山観光
遠賀川河川敷リバーサイドパーク,〒822-0001　福岡県直方市遠賀川河川敷観光
直方中央公園,〒822-0002　福岡県直方市頓野観光
鴨生田公園,〒822-0033　福岡県直方市上新入観光
鳥野神社,〒822-0002　福岡県直方市頓野観光
鷹取城跡,〒822-0005　福岡県直方市永満寺観光
雲取城跡,〒822-0003　福岡県直方市上頓野観光
直方館の跡,〒822-0016　福岡県直方市直方御館山観光
花の木堰の大公孫樹,〒822-0031　福岡県直方市大字植木　犬鳴川河川敷観光
福智山のクマザサ,〒822-0002　福岡県直方市頓野観光
多賀公園の黄玉樹,〒822-0016　福岡県直方市大字直方観光
大塔の滝,〒822-0001　福岡県直方市観光
薙野高原,〒822-0001　福岡県直方市観光
鷹取山,〒822-0001　福岡県直方市観光
福智山,〒803-0267　福岡県直方市観光
尺岳,〒822-0001　福岡県直方市観光
福智山,〒822-0002　福岡県直方市頓野観光
ほとめき通り商店街,福岡県久留米市
吉金菓子舗,〒830-0017　福岡県久留米市日吉町12-28観光
阿わやおこ志本舗,〒830-0044　福岡県久留米市本町1-2観光
草野歴史資料館,〒839-0835　福岡県久留米市草野町草野411-1観光
有馬記念館,〒830-0021　福岡県久留米市篠山町444番地観光
久留米カトリック協会,〒830-0031　福岡県久留米市六ッ門町22-43
バルザック像,福岡県久留米市
井上伝墓,〒830-0014　福岡県久留米市寺町66（徳雲寺）観光
青木繁墓,〒830-0017　福岡県久留米市日吉町139（順光寺）観光
高山彦九郎墓,〒830-0014　福岡県久留米市寺町56（遍照院）観光
日吉市場,福岡県久留米市
中央公園,〒830-0003　福岡県久留米市東櫛原町1713観光
順光寺,〒830-0017　福岡県久留米市日吉町１３９
日吉神社,〒830-0017　福岡県久留米市日吉町106
大石神社,福岡県久留米市大石町397
五穀神社,福岡県久留米市通外町５８
観興寺,〒839-0826　福岡県久留米市山本町耳納2129観光
若宮八幡宮,〒839-0836　福岡県久留米市草野町吉木2611観光
永勝寺,〒839-0827　福岡県久留米市山本町豊田2155観光
坂本繁二郎生家,〒830-0028　福岡県久留米市京町224-1
青木繁旧居,〒830-0042　福岡県久留米市荘島町431番地観光
日輪寺古墳,〒830-0028　福岡県久留米市京町観光
権現塚古墳,〒830-0073　福岡県久留米市大善寺町宮本観光
高良山神篭石,〒839-0851　福岡県久留米市御井町1観光
御塚古墳,〒830-0073　福岡県久留米市大善寺町宮本観光
浦山古墳,〒830-0052　福岡県久留米市上津町観光
下馬場古墳,〒839-0201　福岡県久留米市草野町観光
つきほし歴史館,福岡県久留米市白山町60　株式会社ムーンスター　本社敷地内観光
雪の聖母聖堂,〒830-0047　福岡県久留米市津福本町観光
ハゼ並木,〒839-0827　福岡県久留米市山本町豊田2287観光
矢作の町並み,〒839-0837　福岡県久留米市草野町観光
草野の町並み,〒839-0201　福岡県久留米市草野町観光
久留米百年公園のつつじ,〒839-0861　福岡県久留米市百年公園2432-1観光
久留米森林つつじ公園のつつじ,〒839-0851　福岡県久留米市御井町299-354観光
将軍梅,〒839-0801　福岡県久留米市宮ノ陣5丁目12-1観光
高良山,〒839-0851　福岡県久留米市御井町観光
耳納連山,〒839-0201　福岡県久留米市上陽町観光
グライダー山,〒839-0201　福岡県久留米市草野町観光
久留米観光コンベンション国際交流協会,〒830-0022　福岡県久留米市城南16-1観光
西鉄大牟田駅,〒836-0045　福岡県大牟田市久保田町２丁目　西鉄大牟田駅観光
大牟田市労働福祉会館,〒836-0851　福岡県大牟田市笹林町１丁目１番地観光
大牟田市障害者等文化体育施設（サン・アビリティーズおおむた）,〒836-0004　福岡県大牟田市大字手鎌観光
大牟田文化会館,〒836-0843　福岡県大牟田市不知火町２丁目観光
三池山遊歩道,〒837-0921　福岡県大牟田市三池
甘木山自然遊歩道,〒836-0001　福岡県大牟田市
リフレスおおむた,〒837-0901　福岡県大牟田市大字四ヶ１２２１番地観光
不知火ゴルフ場,〒836-0824　福岡県大牟田市大浦町15-19観光
有明カントリークラブ,〒836-0002　福岡県大牟田市大字岬1523観光
三池港,〒836-0061　福岡県大牟田市新港町観光
上島鬼貫句碑,〒836-0002　福岡県大牟田市大字岬２３８６番地 黒崎公園観光
伊能忠敬碑,〒836-0841　福岡県大牟田市築町観光
諏訪公園,〒836-0037　福岡県大牟田市岬町観光
黒崎公園,〒836-0002　福岡県大牟田市岬観光
甘木公園,〒837-0905　福岡県大牟田市大字甘木観光
三池公園,〒837-0921　福岡県大牟田市大字三池観光
延命公園,〒836-0871　福岡県大牟田市昭和町観光
定林寺の庭,〒837-0922　福岡県大牟田市今山1778観光
普光寺,〒837-0922　福岡県大牟田市今山2538観光
定林寺,〒837-0922　福岡県大牟田市今山1778観光
紹運寺,〒837-0922　福岡県大牟田市今山2599観光
潜塚古墳,〒836-0872　福岡県大牟田市黄金町観光
三池街道,〒837-0921　福岡県大牟田市三池町観光
早鐘眼鏡橋,〒836-0891　福岡県大牟田市合成町１２６番地観光
諏訪公園展望台,〒836-0037　福岡県大牟田市岬町観光
延命貯水池展望台,〒836-0001　福岡県大牟田市延命公園観光
有明海中の海苔畑,〒836-0001　福岡県大牟田市観光
三池の町並み,〒837-0923　福岡県大牟田市新町〜三池観光
延命公園の桜,〒836-0871　福岡県大牟田市昭和町観光
三池公園の桜,〒837-0921　福岡県大牟田市三池観光
定林寺のあじさい,〒837-0922　福岡県大牟田市今山１８７８観光
黒崎玉垂神社の大樟,〒836-0002　福岡県大牟田市岬２３６３観光
上内八幡宮のイチイガシ,〒837-0902　福岡県大牟田市上内１５２８観光
甘木山,〒836-0001　福岡県大牟田市観光
大間山,〒836-0001　福岡県大牟田市観光
セブンミリオンカントリークラブ,〒811-1112　福岡県福岡市早良区大字小笠木103-1観光
アインシュタイン・石原純歌碑,〒814-0001　福岡県福岡市早良区修猷館高校観光
妙福寺庭園,〒811-1101　福岡県福岡市早良区重留5-8-10観光
西光寺,〒811-1123　福岡県福岡市早良区内野2-7-13観光
坊主ケ滝,〒814-0001　福岡県福岡市早良区観光
油山観音正覚寺,〒814-0155　福岡県福岡市城南区東油山508観光
今津海岸,〒819-0001　福岡県福岡市西区観光
能古島海水浴場,〒819-0012　福岡県福岡市西区能古島観光
のこのしまキャンプ村,〒819-0012　福岡県福岡市西区能古島観光
檀一雄文学碑,〒819-0012　福岡県福岡市西区能古島観光
宮崎安貞墓,〒819-0373　福岡県福岡市西区周船寺381-14観光
興徳寺,〒819-0001　福岡県福岡市西区姪浜5-23-1観光
誓願寺,〒819-0165　福岡県福岡市西区今津851観光
元寇防塁跡,〒819-0165　福岡県福岡市西区今津・西区生の松原・早良区西新観光
大塚古墳,〒819-0167　福岡県福岡市西区今宿大塚観光
丸隈山古墳,〒819-0373　福岡県福岡市西区周船寺観光
能古島展望台,〒819-0012　福岡県福岡市西区能古島観光
小戸展望台,〒819-0001　福岡県福岡市西区小戸観光
アイランドパークのツツジ,〒819-0012　福岡県福岡市西区能古1624観光
油山市民の森のさくら,〒815-0001　福岡県福岡市南区観光
徳富蘇峰詩碑,〒810-0061　福岡県福岡市中央区西公園観光
貝原益軒墓,〒810-0054　福岡県福岡市中央区今川金龍寺境内観光
天神よろず町通り,〒810-0073　福岡県福岡市中央区舞鶴観光
亀井（南冥・昭陽）家の墓,〒810-0064　福岡県福岡市中央区地行観光
南公園,〒810-0037　福岡県福岡市中央区南公園観光
大濠公園日本庭園,〒810-0051　福岡県福岡市中央区大濠公園1-7観光
金龍寺,〒810-0054　福岡県福岡市中央区今川2-3-23観光
平尾山荘,〒810-0014　福岡県福岡市中央区平尾5丁目2-28観光
福岡市文学館（赤煉瓦文化館）,〒810-0001　福岡県福岡市中央区天神1-15-30観光
福岡城南丸多聞櫓,〒810-0043　福岡県福岡市中央区城内観光
舞鶴公園の梅,〒810-0043　福岡県福岡市中央区城内観光
南公園の桜,〒810-0001　福岡県福岡市中央区観光
ツクシオオカヤツリ自生地,〒810-0043　福岡県福岡市中央区城内観光
西公園のツツジ,〒810-0001　福岡県福岡市中央区観光
福岡観光コンベンションビューロー,〒810-0001　福岡県福岡市中央区天神1-10-1観光
元寇史料館,〒812-0045　福岡県福岡市博多区東公園7-11観光
福岡県立総合プール,〒816-0052　福岡県福岡市博多区東平尾公園2-1-3観光
亀山上皇銅像,〒812-0045　福岡県福岡市博多区東公園内観光
五足の靴,〒810-0801　福岡県福岡市博多区中洲観光
川上音次郎の墓,〒812-0001　福岡県福岡市博多区承天寺観光
仙がい和尚絶筆碑及び曙桜歌碑,〒812-0001　福岡県福岡市博多区聖福寺観光
比恵環溝住居遺跡,〒812-0001　福岡県福岡市博多区比恵駅南観光
金隈遺跡,〒812-0001　福岡県福岡市博多区金隈1-39-52観光
福岡県庁,〒812-0045　福岡県福岡市博多区東公園7-7観光
しかのしま資料館,〒811-0325　福岡県福岡市東区勝馬１８０３-１観光
福岡マリーナ,〒811-0322　福岡県福岡市東区大岳観光
西戸崎シ-サイドカントリークラブ,〒811-0321　福岡県福岡市東区大字西戸崎316観光
福岡カンツリー倶楽部,〒811-0216　福岡県福岡市東区大字上和白1318-1観光
枯野塚,〒812-0054　福岡県福岡市東区馬出観光
長塚節歌碑,〒813-0001　福岡県福岡市東区九大病院構内観光
不老水,〒813-0011　福岡県福岡市東区香椎宮内観光
綾杉,〒813-0011　福岡県福岡市東区香椎４-１６-１観光
福岡県サイクリング協会,〒810-0013　福岡県福岡市観光
野河内渓谷自然歩道,〒813-0000　福岡県福岡市
能古自然探勝路,〒813-0000　福岡県福岡市
金山,〒811-1133　福岡県福岡市（佐賀県三瀬村）観光
瀬板の森北九州ゴルフコース,〒806-0048　福岡県北九州市八幡西区樋口町8番1号観光
九州ゴルフ倶楽部　八幡コース,〒805-0036　福岡県北九州市八幡東区大字小熊野1467観光
帆柱キャンプ場,〒805-0001　福岡県北九州市八幡東区権現山北斜面観光
北原白秋詩碑,〒805-0019　福岡県北九州市八幡東区中央3丁目 高炉台公園内観光
河野静雲句碑,〒805-0016　福岡県北九州市八幡東区高見5-1-32 阿弥陀院境内観光
野口雨情詩碑,〒805-0001　福岡県北九州市八幡東区皿倉山頂帆柱ケーブル山頂そば観光
三条実美歌碑,〒805-0001　福岡県北九州市八幡東区岡田神社境内観光
上野十七八川柳碑,〒805-0019　福岡県北九州市八幡東区中央3丁目 高炉台公園内観光
清原枴童句碑,〒805-0048　福岡県北九州市八幡東区大字大蔵河内貯水池畔観光
小倉カンツリー倶楽部,〒800-0243　福岡県北九州市小倉南区西貫2-1-1観光
堀越キャンプ場,〒802-0835　福岡県北九州市小倉南区堀越観光
北九州メディアドーム,〒802-0065　福岡県北九州市小倉北区三萩野3-1-1観光
足立キャンプ場,〒802-0025　福岡県北九州市小倉北区寿山町7番14号 足立公園内観光
万葉の庭・万葉歌碑,〒802-0001　福岡県北九州市小倉北区勝山公園観光
宮本武蔵の碑,〒802-0001　福岡県北九州市小倉北区手向山公園観光
阿南哲朗民謡碑,〒802-0043　福岡県北九州市小倉北区大字足原妙見山観光
佐々木小次郎の碑,〒802-0001　福岡県北九州市小倉北区手向山公園内観光
杉田久女句碑,〒802-0041　福岡県北九州市小倉北区妙見町1-30 円通寺境内観光
森鴎外文学碑,〒802-0001　福岡県北九州市小倉北区勝山公園内観光
松尾芭蕉句塚,〒802-0001　福岡県北九州市小倉北区堅町一丁目２-１３安国寺境内観光
手向山公園,〒802-0032　福岡県北九州市小倉北区赤坂4丁目観光
永照寺（御坊）,〒803-0814　福岡県北九州市小倉北区大手町16-16観光
足立公園の桜,〒802-0041　福岡県北九州市小倉北区妙見町観光
金比羅キャンプ場,〒804-0022　福岡県北九州市戸畑区金比羅町観光
万葉歌碑,〒804-0001　福岡県北九州市戸畑区役所前庭観光
若山牧水歌碑,〒804-0062　福岡県北九州市戸畑区浅生1丁目 図書館前観光
夜宮公園の花しょうぶ,〒804-0042　福岡県北九州市戸畑区夜宮一丁目・二丁目観光
夜宮の大珪化木,〒804-0042　福岡県北九州市戸畑区夜宮２丁目、天籟寺小学校そば観光
北九州市サイクリングターミナル,〒808-0121　福岡県北九州市若松区大字竹並828番地観光
染と織の美術館,〒808-0108　福岡県北九州市若松区大字小竹2376 内小竹公民館横観光
脇田海水浴場,〒808-0001　福岡県北九州市若松区脇田観光
若松ゴルフ倶楽部,〒808-0134　福岡県北九州市若松区大字乙丸1560観光
しょうぶ谷キャンプ場,〒808-0007　福岡県北九州市若松区小石観光
飯尾宗祇句碑,〒808-0036　福岡県北九州市若松区高塔山登山道入口の佐藤公園内観光
河童封じ地蔵,〒808-0001　福岡県北九州市若松区高塔山公園観光
火野葦平詩碑,〒808-0001　福岡県北九州市若松区高塔山公園観光
松尾芭蕉句碑,〒808-0053　福岡県北九州市若松区修多羅3-4 東南院境内観光
洲口番所跡,〒808-0034　福岡県北九州市若松区本町1-10 若松渡湯付近観光
高塔山公園のアジサイ,〒808-0053　福岡県北九州市若松区大字修多羅観光
門司ゴルフ倶楽部,〒800-0114　福岡県北九州市門司区大字吉志175観光
本居宣長歌碑,〒801-0854　福岡県北九州市門司区旧門司一丁目甲宗八幡神社境内観光
久保晴句碑,〒800-0001　福岡県北九州市門司区和布刈神社境内観光
火野葦平詩碑,〒801-0854　福岡県北九州市門司区旧門司1丁目 甲宗八幡神社境内観光
平忠度歌碑,〒800-0024　福岡県北九州市門司区大里戸ノ上一丁目柳の御所観光
高浜虚子句碑,〒800-0001　福岡県北九州市門司区和布刈神社観光
めかり公園の桜,〒801-0855　福岡県北九州市門司区大字門司観光
