キャナルシティ博多,〒812-0018,福岡県福岡市博多区住吉１丁目２-２５
博多駅,〒812-0012,福岡市 博多区 中央街
マリノアシティ福岡,〒819-0001,福岡県福岡市西区小戸2-12-30
マリンワールド海の中道,〒811-0321,福岡県福岡市東区西戸崎18-28
天神地下街,〒810-0001,福岡県福岡市中央区天神1-6-8
福岡タワー,〒814-0001,福岡県福岡市早良区百道浜2-3-26
大濠公園,〒810-0051,福岡県福岡市中央区大濠公園
屋台,〒810-0801,福岡県福岡市内各所
中洲,〒812-0001,福岡県福岡市博多区中州
櫛田神社,〒812-0001,福岡県福岡市博多区上川端1-41
ヤフオク！ドーム,〒810-8660,福岡県 福岡市 中央区 知行浜2丁目2番2号
東長寺,〒812-0037,福岡県福岡市博多区御供所町2-4
ホークスタウン,〒810-0001,福岡県福岡市中央区
博多座,〒812-0027,福岡県福岡市博多区下川端町2-1
福岡市博物館,〒814-0001,福岡県福岡市早良区百道浜3-1-1
筥崎宮,〒812-0053,福岡県福岡市東区箱崎1-22-1
かしいかえん シルバニアガーデン,〒813-0001,福岡県福岡市東区香佐ヶ丘7-2-1
ベイサイドプレイス博多埠頭,〒812-0021,福岡県福岡市博多区築港本町１３-６
海の中道海浜公園,〒811-0321,福岡県福岡市東区西戸崎18-25
福岡市動植物園,〒810-0037,福岡県福岡市中央区南公園1-1
警固神社,〒810-0001,福岡県福岡市中央区天神2-2-20
アクロス福岡,〒810-0001,福岡県福岡市中央区天神1-1-1
無印良品キャナルシティ博多,〒812-0018,福岡県福岡市博多区住吉1-2-1 シアタービル3・4階
天神西通り,〒810-0001,福岡県福岡市中央区天神
のこのしまアイランドパーク,〒819-0012,福岡県福岡市西区能古1624
博多リバレイン,〒812-0027,福岡県福岡市博多区下川端町３-１
アサヒビール博多工場,〒816-0095,福岡県福岡市博多区竹下3-1-1
福岡市鮮魚市場市場会館,〒810-0072,福岡県福岡市中央区長浜3-11-3
福岡城跡,〒810-0043,福岡県福岡市中央区城内
シーサイドももち海浜公園,〒814-0001,福岡県福岡市中央区地行浜2地先〜早良区百道浜2〜4地先
福岡アジア美術館,〒812-0027,福岡県福岡市博多区下川端町3-1 博多リバレインリバーサイド7・8F
住吉神社,〒812-0018,福岡県福岡市博多区住吉3-1-51
JR博多シティ,〒812-0012,福岡県福岡市博多区博多駅中央街1番1号（博多駅直結）
LOFT,〒810-0004,福岡県福岡市中央区渡辺通4-9-25
舞鶴公園のさくら,〒810-0043,福岡県福岡市中央区城内
香椎宮,〒813-0011,福岡県福岡市東区香椎4-16-1
東平尾公園（博多の森）,〒816-0052,福岡県福岡市博多区東平尾公園2-1-2
西公園のさくら,〒810-0001,福岡県福岡市中央区
筥崎宮神苑花庭園,〒812-0053,福岡県福岡市東区箱崎1-22-1
楽水園,〒812-0018,福岡県福岡市博多区住吉2-10-7
志賀島,〒813-0001,福岡県福岡市東区
愛宕神社,〒819-0015,福岡県福岡市西区愛宕2-7-1
能古島,〒819-0012,福岡県福岡市西区
海の中道,〒813-0001,福岡県福岡市東区
友泉亭公園,〒814-0122,福岡県福岡市城南区友泉亭1-46
マリノア,〒819-0001,福岡県福岡市西区小戸
福岡アンパンマンこどもミュージアムinモール,〒812-0027,福岡県福岡市博多区下川端町3-1 博多リバレイン5・6階
似顔絵屋,〒812-0018,福岡県福岡市博多区住吉1-2-1 キャナルシティ博多
「博多町家」ふるさと館,〒812-0039,福岡県福岡市博多区冷泉町6-10
川端通り商店街,〒812-0001,福岡県福岡市博多区
マリンメッセ福岡,〒812-0031,福岡市博多区沖浜町7-1
脊振山,〒811-1113,福岡県福岡市（佐賀県）
エバーグリーンマリノア大観覧車,〒819-0001,福岡県福岡市西区小戸2-12-43 エバーグリーンマリノア
福岡市美術館,〒810-0051,福岡県福岡市中央区大濠公園1-6
櫛田神社の大イチョウ,〒812-0026,福岡県福岡市博多区上川端町1-41
福岡ドーム THE BIG LIFE,〒810-8660,福岡県福岡市中央区地行浜2-2-2 福岡ドーム内
福岡市民防災センター,〒814-0001,福岡県福岡市早良区百道浜１−３−３
博多百年蔵,〒812-0043,福岡県福岡市博多区堅粕1-30-1
天神中央公園,〒810-0002,福岡県福岡市中央区天神1-1
花乱の滝,〒814-0001,福岡県福岡市早良区
ナイキファクトリーストア ホークスタウン,〒810-0065,福岡県福岡市中央区地行浜2-2-1 ホークスタウン内
東公園,〒812-0045,福岡県福岡市博多区東公園
油山,〒811-1111,福岡県福岡市
まもるーむ福岡,〒810-0065,福岡市中央区地行浜2丁目1−34 福岡市保健環境研究所1F
マリゾン,〒814-0001,福岡県福岡市早良区百道浜2-902-1
ホテル海の中道,〒811-0321,福岡県福岡市東区西戸崎18-25
油山牧場,〒811-1353,福岡県福岡市南区柏原西山田710-2
崇福寺,〒812-0044,福岡県福岡市博多区千代4-7-79
スカイホイール,〒819-0001,福岡県福岡市西区小戸2-12-30 マリノアシティ福岡
鴻臚館跡展示館,〒810-0043,福岡県福岡市中央区城内1
舞鶴公園,〒810-0043,福岡県福岡市中央区城内1
シロウオとり,〒819-0015,福岡県福岡市
今宿野外活動センターキャンプ場,〒819-0163,福岡県福岡市西区今宿上の原217-2
生の松原海水浴場,〒819-0055,福岡県福岡市西区生の松原
金印公園,〒811-0323,福岡県福岡市東区志賀島字古戸1865
アクシオン福岡,〒812-0852,福岡市博多区東平尾公園2丁目1番4号
福岡市営渡船 （能古航路・小呂島航路）,〒819-0013,福岡県福岡市西区愛宕浜３−１−１
ロボット体験スペース【ロボスクエア】,〒814-0001,福岡県福岡市早良区百道浜2-3-2 TNC放送会館2F
王貞治ベースボールミュージアム,〒810-0065,福岡県福岡市中央区地行浜２−２−２ 福岡Yahoo! JAPAN ドーム
今泉,,福岡市中央区今泉周辺
福岡国際会議場,〒812-0032,福岡市博多区石城町2-1
今津運動公園,〒819-0165,福岡県福岡市西区今津字津本
ユヌプリュム,〒810-0041,福岡県福岡市中央区大名1-2-28 アイディール大名2階
eeny meeny miny mo,〒812-0027,福岡県福岡市博多区下川端町3-1 博多リバレイン内
福岡市海づり公園,〒819-0203,福岡県福岡市西区大字小田字池ノ浦地先
能古博物館,〒819-0012,福岡県福岡市西区能古522-2
能古渡船,〒819-0013,福岡県福岡市西区愛宕浜3-1-1
福岡シティ劇場,〒812-0018,福岡県福岡市博多区住吉1-2-1
福岡市営渡船（志賀島航路・玄界島航路）,〒812-0021,福岡県福岡市博多区築港本町13-6
脊振山,〒811-1113,佐賀県神埼市
福岡県立勤労青少年文化センター（ももちパレス）,〒814-0006,福岡県福岡市早良区百道2-3-15
西新リヤカー部隊,〒814-0002,福岡県福岡市早良区西新
油山市民の森キャンプ場,〒811-1355,福岡県福岡市南区桧原夫婦石
片江展望台,〒814-0101,福岡県福岡市城南区油山
福岡歴史の町,〒819-0375,福岡県福岡市西区徳永
大原海水浴場,〒819-0165,福岡県福岡市西区今津大原
福岡市立ヨットハーバー,〒819-0001,福岡県福岡市西区小戸
アイランドパークのコスモス,〒819-0012,福岡県福岡市西区能古1624
長垂の含紅雲母（ペグマタイト岩脈）,〒819-0001,福岡県福岡市西区
生の松原（長垂海岸）,〒819-0001,福岡県福岡市西区
今津海岸（長浜海岸）,〒819-0001,福岡県福岡市西区
油山市民の森,〒811-1355,福岡県福岡市南区桧原夫婦石855-4
九州エネルギー館,〒810-0022,福岡県福岡市中央区薬院4-13-55
浄水通り,〒810-0022,福岡県福岡市中央区薬院
柳橋連合市場,〒810-0003,福岡県福岡市中央区春吉1-5-1
西公園,〒810-0061,福岡県福岡市中央区西公園
旧福岡県公会堂貴賓館,〒810-0002,福岡県福岡市中央区西中洲6-29
光雲神社,〒810-0061,福岡県福岡市中央区西公園13-1
福岡市動植物園展望台,〒810-0037,福岡県福岡市中央区南公園1-1
パピオアイスアリーナ,〒812-0044,福岡県福岡市博多区千代1-15-30
日蓮上人銅像,〒812-0045,福岡県福岡市博多区東公園内
聖福寺,〒812-0037,福岡県福岡市博多区御供所町6-1
承天寺,〒812-0011,福岡県福岡市博多区博多駅前1-29-9
筥崎宮あじさい苑,〒812-0053,福岡県福岡市東区箱崎1-22-1
勝馬海水浴場,〒811-0325,福岡県福岡市東区大字勝馬
志賀島海水浴場,〒811-0323,福岡県福岡市東区志賀島
スポーツガーデン香椎,〒813-0044,福岡県福岡市東区千早3-6-37
潮見公園,〒811-0323,福岡県福岡市東区志賀島
潮見公園展望台,〒811-0323,福岡県福岡市東区志賀島
名島檣石,〒813-0001,福岡県福岡市東区
雁の巣レクリエーションセンター,〒811-0204,福岡県福岡市東区奈多1302-53
赤坂けやき通り,〒810-0001,福岡県福岡市中央区
金山渓谷,〒811-1132,福岡県福岡市早良区石釜
蒙古塚,〒811-0323,福岡県福岡市東区志賀島
志賀海神社,〒811-0323,福岡県福岡市東区志賀島877
ユナイテッド・シネマ福岡 (ホークスタウンモール内),〒810-0065,福岡県福岡市中央区地行浜2-2-1 ホークスタウンモール モール1-2F
福岡交通株式会社,〒812-0051,福岡市東区箱崎ふ頭5丁目9-36
太宰府めぐりタクシーコース,〒812-0051,福岡市東区箱崎ふ頭5丁目9-36
タクシーコース,〒812-0051,福岡市東区箱崎ふ頭5丁目9-36
福岡国際センター,〒812-0021,福岡市博多区築港本町2-2
FUZZ,〒810-0004,福岡県福岡市中央区渡辺通1-8-31 アーバン渡辺通2階
エンジェル スウィート,〒810-0001,福岡県福岡市中央区天神2-3-7 天神Nビル4階
club Lab−Z REMIX,〒810-0001,福岡県福岡市中央区天神3-6-12 岡部ビル6階
Sa＊kura,〒810-0042,福岡県福岡市中央区赤坂1-2-1 シャンボール赤坂1階
Seato,〒810-0041,福岡県福岡市中央区大名2-2-1 ワコービル1階
VIA BUS STOP,〒812-0027,福岡県福岡市博多区下川端町3-1 博多リバレイン内
setlfe.com,〒812-0018,福岡県福岡市博多区住吉1-2-22 キャナルシティ博多
TONY SILVER,〒810-0065,福岡県福岡市中央区地行浜2-2-1 ホークスタウン内
PAL All STARS,〒819-0001,福岡県福岡市西区小戸2-13-16 マリノアシティ福岡
仲西眼鏡店 OUT LET,〒819-0001,福岡県福岡市西区小戸2-13-16 マリノアシティ福岡
博多ケントス,〒810-0801,福岡県福岡市博多区中洲5-2-3 松居壱番館3階
明代宝船 鄭和,〒812-0021,福岡県福岡市博多区築港本町13-6
海中ライン,〒814-0001,福岡県福岡市早良区百道浜2-902-1地先 マリゾン内
セブンミリオンカントリークラブ,〒811-1112,福岡県福岡市早良区大字小笠木103-1
アインシュタイン・石原純歌碑,〒814-0001,福岡県福岡市早良区修猷館高校
妙福寺庭園,〒811-1101,福岡県福岡市早良区重留5-8-10
西光寺,〒811-1123,福岡県福岡市早良区内野2-7-13
坊主ケ滝,〒814-0001,福岡県福岡市早良区
七隅ファミリープラザアイススケートセンター,〒814-0133,福岡県福岡市城南区七隈8-4-8
油山観音正覚寺,〒814-0155,福岡県福岡市城南区東油山508
今津海岸,〒819-0001,福岡県福岡市西区
能古島海水浴場,〒819-0012,福岡県福岡市西区能古島
のこのしまキャンプ村,〒819-0012,福岡県福岡市西区能古島
檀一雄文学碑,〒819-0012,福岡県福岡市西区能古島
宮崎安貞墓,〒819-0373,福岡県福岡市西区周船寺381-14
興徳寺,〒819-0001,福岡県福岡市西区姪浜5-23-1
誓願寺,〒819-0165,福岡県福岡市西区今津851
元寇防塁跡,〒819-0165,福岡県福岡市西区今津・西区生の松原・早良区西新
大塚古墳,〒819-0167,福岡県福岡市西区今宿大塚
丸隈山古墳,〒819-0373,福岡県福岡市西区周船寺
能古島展望台,〒819-0012,福岡県福岡市西区能古島
小戸展望台,〒819-0001,福岡県福岡市西区小戸
アイランドパークのツツジ,〒819-0012,福岡県福岡市西区能古1624
油山市民の森のさくら,〒815-0001,福岡県福岡市南区
徳富蘇峰詩碑,〒810-0061,福岡県福岡市中央区西公園
貝原益軒墓,〒810-0054,福岡県福岡市中央区今川金龍寺境内
天神よろず町通り,〒810-0073,福岡県福岡市中央区舞鶴
亀井（南冥・昭陽）家の墓,〒810-0064,福岡県福岡市中央区地行
南公園,〒810-0037,福岡県福岡市中央区南公園
大濠公園日本庭園,〒810-0051,福岡県福岡市中央区大濠公園1-7
金龍寺,〒810-0054,福岡県福岡市中央区今川2-3-23
平尾山荘,〒810-0014,福岡県福岡市中央区平尾5丁目2-28
福岡市文学館（赤煉瓦文化館）,〒810-0001,福岡県福岡市中央区天神1-15-30
福岡城南丸多聞櫓,〒810-0043,福岡県福岡市中央区城内
舞鶴公園の梅,〒810-0043,福岡県福岡市中央区城内
南公園の桜,〒810-0001,福岡県福岡市中央区
ツクシオオカヤツリ自生地,〒810-0043,福岡県福岡市中央区城内
西公園のツツジ,〒810-0001,福岡県福岡市中央区
福岡コンベンションビューロー,〒810-0001,福岡県福岡市中央区天神1-10-1
元寇史料館,〒812-0045,福岡県福岡市博多区東公園7-11
福岡県立総合プール,〒816-0052,福岡県福岡市博多区東平尾公園2-1-3
亀山上皇銅像,〒812-0045,福岡県福岡市博多区東公園内
五足の靴,〒810-0801,福岡県福岡市博多区中洲
川上音次郎の墓,〒812-0001,福岡県福岡市博多区承天寺
仙がい和尚絶筆碑及び曙桜歌碑,〒812-0001,福岡県福岡市博多区聖福寺
比恵環溝住居遺跡,〒812-0001,福岡県福岡市博多区比恵駅南
金隈遺跡,〒812-0001,福岡県福岡市博多区金隈1-39-52
福岡県庁,〒812-0045,福岡県福岡市博多区東公園7-7
しかのしま資料館,〒811-0325,福岡県福岡市東区勝馬１８０３-１
福岡マリーナ,〒811-0322,福岡県福岡市東区大岳
西戸崎シ-サイドカントリークラブ,〒811-0321,福岡県福岡市東区大字西戸崎316
福岡カンツリー倶楽部,〒811-0216,福岡県福岡市東区大字上和白1318-1
枯野塚,〒812-0054,福岡県福岡市東区馬出
長塚節歌碑,〒813-0001,福岡県福岡市東区九大病院構内
不老水,〒813-0011,福岡県福岡市東区香椎宮内
綾杉,〒813-0011,福岡県福岡市東区香椎４-１６-１
